total_budget,sigma,n_per_coordinate,query_price,query_cost,planning_cost,pilot_cost,remaining_budget,trial,task,offset,state_error,state_radius,coverage,full_static_lower,candidate_upper,accepted,false_accept,candidate_risk,fallback_risk,selected_risk,full_static_numeric,net_gain
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,36,0,-0.06,0.005973070503742172,0.02413725245658695,1,0.0003967512350636131,0.0024031781605327873,0,0,0.0013117443071670872,0.0005424205892576936,0.0005424205892576936,0.0005300886374268787,0.9772649636185616
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,37,1,-0.045,0.013086056143876798,0.02413725245658695,1,0.0004266319481144096,0.0013615978550493544,0,0,0.0008600658764521485,0.0005563659482150934,0.0005563659482150934,0.0005349712302114809,0.9615456012858983
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,38,2,-0.03,0.01002139968003193,0.02413725245658695,1,0.0004129793846984744,0.0009320242889728498,0,0,0.0005396698723598804,0.0005562677037970955,0.0005562677037970955,0.000538471679042777,0.9680081647148622
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,39,3,-0.015,0.00705299576829252,0.02413725245658695,1,0.00042667592981794763,0.0008612434942978277,0,0,0.0003508446296678847,0.0005566201846758149,0.0005566201846758149,0.000540577093549485,0.9711776691395522
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,40,4,0.0,0.00969315051912252,0.02413725245658695,1,0.00043737543635925867,0.00048625759821610776,0,0,0.00029376007834926073,0.000553382223092282,0.000553382223092282,0.0005412797551389132,0.9781300022871342
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,41,5,0.015,0.01284603230160921,0.02413725245658695,1,0.00043799601614779026,0.000689821189771738,0,0,0.0003508446296678845,0.0005535607642309455,0.0005535607642309455,0.0005405770935494873,0.9765451753079063
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,42,6,0.03,0.00976949991180746,0.02413725245658695,1,0.00041116576062195443,0.0009917168909708755,0,0,0.0005396698723598816,0.0005531552587351629,0.0005531552587351629,0.0005384716790427769,0.9734548673984202
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,43,7,0.045,0.009296713440221724,0.02413725245658695,1,0.0004120398975259791,0.001331441925501263,0,0,0.0008600658764521482,0.0005563659482150942,0.0005563659482150942,0.0005349712302114757,0.9615456012858875
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,44,8,0.06,0.003877858800170172,0.02413725245658695,1,0.00040005461947184286,0.002491620540541153,0,0,0.0013117443071670907,0.000544162566660727,0.000544162566660727,0.0005300886374268776,0.9741365354838454
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,45,0,-0.06,0.009048972286478878,0.02413725245658695,1,0.00041099388901285125,0.0019174445732548747,0,0,0.0013117443071670872,0.0005561351835844979,0.0005561351835844979,0.0005300886374268787,0.9531650812132771
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,46,1,-0.045,0.004489237460814672,0.02413725245658695,1,0.00041719480361098414,0.0015525670517607729,0,0,0.0008600658764521485,0.0005474705642348553,0.0005474705642348553,0.0005349712302114809,0.9771689386792083
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,47,2,-0.03,0.011097630865502467,0.02413725245658695,1,0.0004073946697204415,0.001362215503685133,0,0,0.0005396698723598804,0.0005587683272930791,0.0005587683272930791,0.000538471679042777,0.9636760939034822
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,48,3,-0.015,0.005549973038200046,0.02413725245658695,1,0.00041845172542834036,0.0007050708000977826,0,0,0.0003508446296678847,0.0005525882063734493,0.0005525882063734493,0.000540577093549485,0.9782638994364513
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,49,4,0.0,0.0016437920576688398,0.02413725245658695,1,0.00042631118692463665,0.000478591233963932,0,0,0.00029376007834926073,0.000553382223092282,0.000553382223092282,0.0005412797551389132,0.9781300022871342
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,50,5,0.015,0.003035758759676829,0.02413725245658695,1,0.00042638949793898854,0.0006646703561232001,0,0,0.0003508446296678845,0.0005535607642309455,0.0005535607642309455,0.0005405770935494873,0.9765451753079063
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,51,6,0.03,0.009509821966058072,0.02413725245658695,1,0.0004290028208737273,0.0011256606547166454,0,0,0.0005396698723598816,0.0005503970744417478,0.0005503970744417478,0.0005384716790427769,0.9783331054020109
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,52,7,0.045,0.01723325801869578,0.02413725245658695,1,0.000415889727075749,0.0022730249219980922,0,0,0.0008600658764521482,0.0005746040409794257,0.0005746040409794257,0.0005349712302114757,0.9310258753133811
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,53,8,0.06,0.013392522151264685,0.02413725245658695,1,0.000419498309932898,0.001979337428002529,0,0,0.0013117443071670907,0.0005509794326074159,0.0005509794326074159,0.0005300886374268776,0.9620842558828809
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,54,0,-0.06,0.00709278051284469,0.02413725245658695,1,0.0003978364243130072,0.0022098858486372364,0,0,0.0013117443071670872,0.0005423950120167858,0.0005423950120167858,0.0005300886374268787,0.9773110476363926
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,55,1,-0.045,0.004872928597141309,0.02413725245658695,1,0.00041725042045456144,0.0015155390381492069,0,0,0.0008600658764521485,0.0005492835158085706,0.0005492835158085706,0.0005349712302114809,0.9739437190718871
