case,dimension,budget,curriculum,matched_static,margin,commutator_norm
0,2,3.3299866426765368,0.1773929071118902,0.17733395126610985,5.895584578036184e-05,0.04524034299833077
1,4,3.1723330889431396,0.33840212916985557,0.32997165535493106,0.00843047381492451,1.9312296836995184
2,8,1.7669522939484361,0.8580835441177574,0.8563516018440618,0.0017319422736956636,2.160423135986078
3,12,3.132389085555767,0.5855116810557355,0.5819573047547595,0.003554376300975992,2.3080600297182836
4,2,0.9168777142127549,0.49358876473071867,0.49355156918601917,3.7195544699497596e-05,0.26834408043019314
5,4,3.46896184443946,0.11124486406974805,0.11039126582524428,0.0008535982445037754,0.7790045135501659
6,8,3.1810364181972637,0.3903476421857045,0.3865654620451866,0.003782180140517899,2.2398270661864292
7,12,0.723991373773401,2.3450540684440986,2.344202382241516,0.000851686202582691,3.0206609346428595
8,2,1.1807713069677241,0.287766674010872,0.28753097047448944,0.00023570353638258101,0.3339324987560767
9,4,5.367383673001298,0.2370468847717525,0.23123397233430307,0.005812912437449441,0.6856431615254415
10,8,4.063309011401221,0.3101918064525641,0.29223989172685,0.017951914725714113,1.9950051083387923
11,12,5.306734842945665,0.3709097424441691,0.32590094801559877,0.04500879442857031,4.115156771537702
12,2,5.271386518388974,0.05472611568958119,0.04902635638480312,0.0056997593047780695,0.8280640647274606
13,4,2.926548795377912,0.1878641945240032,0.18417677741651298,0.0036874171074902096,0.3773359743209929
14,8,1.8536239424046859,0.5197374565954342,0.515118409366172,0.0046190472292622076,1.6281665153527776
15,12,3.018600012929177,0.47103138864552263,0.4587990070081067,0.012232381637415912,2.392622322734535
16,2,2.4626790659509803,0.11342883921036023,0.11342788499744562,9.5421291461395e-07,0.3662485115711118
17,4,2.5953060393251928,0.47234048279628216,0.4723235159217264,1.6966874555768285e-05,1.2390205886023458
18,8,3.7736858593062284,0.26811874240394007,0.25970159144123817,0.008417150962701903,1.8434774130589209
19,12,4.540339561019824,0.1903267537723035,0.1555294328119593,0.034797320960344186,1.7251151582901916
20,2,2.5689315970405238,0.03380301807232445,0.03347312682327016,0.0003298912490542899,0.18959053970746403
21,4,3.555516946066402,0.09086646968830593,0.08798136096416345,0.0028851087241424794,1.4725651706757295
22,8,0.8856495317859798,1.3819048927830744,1.3706671366425192,0.011237756140555222,1.8792251315752007
23,12,0.379368696157809,3.422674161982661,3.422667596993562,6.564989099011598e-06,2.3745431733059763
24,2,4.017854154158163,0.0008365453562104801,0.0006303490045669619,0.0002061963516435182,0.17294300800307766
25,4,3.3266057884822406,0.028622575859026948,0.028361971685273192,0.0002606041737537555,1.7534151127403454
26,8,2.657185817797684,0.4628478292734392,0.44222932360690437,0.020618505666534837,3.7436397628028795
27,12,4.580483381826788,0.16240805006174186,0.15618288962794988,0.006225160433791982,3.540821604556299
28,2,2.0422519816594527,0.02697075081525989,0.022831817667035903,0.004138933148223986,1.929286637766778
29,4,2.7452478847233137,0.3406871795487514,0.34046560125639636,0.00022157829235502913,2.663340970584139
30,8,2.631640955840604,0.37088669561518817,0.37082889557267495,5.780004251321191e-05,1.689103303317865
31,12,3.446834213752393,0.5502890043041287,0.48406893205904167,0.06622007224508708,2.638061239982018
32,2,4.521120047314627,0.053159234052390474,0.053054011384256174,0.00010522266813429992,0.5906328307016289
33,4,3.238817953442266,0.07486493233858042,0.0627598065654815,0.012105125773098926,2.3243157299624038
34,8,5.468254309168558,0.1861573345980359,0.1720620965867505,0.0140952380112854,2.0888285053122977
35,12,4.94277304232623,0.2852394597927896,0.21635716399447324,0.06888229579831634,3.188169761515639
36,2,1.388212717312903,0.2362139135793629,0.23579183313874885,0.0004220804406140366,0.3471580304924686
37,4,5.3462031385107025,0.01589390424019395,0.008994892921234843,0.006899011318959106,1.2818671128294998
38,8,3.202465868689898,0.29325764064202275,0.2649179099310481,0.028339730710974675,3.874858318512097
39,12,2.2588839938316756,1.4787319836243347,1.478731959480555,2.4143779642216145e-08,2.064621670704529
40,2,0.6723322875053893,0.549034227632137,0.5490251582462563,9.069385880744463e-06,0.2265126570967348
41,4,1.9481029357415718,0.5307339437490629,0.5223150215511373,0.008418922197925616,1.7864936299669274
42,8,5.094669288900196,0.4554790410391237,0.4387173276726862,0.016761713366437503,7.805841881559997
