budget,step_size,steps,operator_error,error_bound
2.0,0.2,10,0.03928519165043233,0.22050000000000003
2.0,0.1,20,0.01914773534006247,0.11025000000000001
2.0,0.05,40,0.009411807554075275,0.05512500000000001
2.0,0.025,80,0.004658069509606986,0.027562500000000004
2.0,0.0125,160,0.0023216851369571765,0.013781250000000002
4.0,0.2,20,0.025986530831191193,0.44100000000000006
4.0,0.1,40,0.012535664030733858,0.22050000000000003
4.0,0.05,80,0.006133728212182165,0.11025000000000001
4.0,0.025,160,0.0030267762538785476,0.05512500000000001
4.0,0.0125,320,0.0015076772373878893,0.027562500000000004
8.0,0.2,40,0.021192928747937816,0.8820000000000001
8.0,0.1,80,0.01019165685178019,0.44100000000000006
8.0,0.05,160,0.004980638463579565,0.22050000000000003
8.0,0.025,320,0.002456738754294686,0.11025000000000001
8.0,0.0125,640,0.001223183058531678,0.05512500000000001
