angle_deg,budget,xi,amplitude,feasible,witness_gain_coefficient,global_upper_coefficient,prediction
30,1.0,0.01,0.19731121901592694,True,0.12587179527933935575645160331196,0.12626182916015111926688784040379,0.125
30,1.0,0.001,0.0623952859994656,True,0.12508660200313761674217077518337,0.12512511729697763583391915092474,0.125
30,1.0,0.0001,0.019731121901592694,True,0.12500865446676831472098162706865,0.12501250117198438525487313852802,0.125
30,1.0,0.00001,0.006239528599946561,True,0.12500086538938277500377154497649,0.12500125001171885937602540029306,0.125
30,1.0,0.000001,0.0019731121901592694,True,0.12500008653836537830346626539433,0.12500012500011718760937510253916,0.125
30,4.0,0.01,0.04087885338980056,True,0.1254948444173002144621588120103,0.12626182916015111926688784040379,0.125
30,4.0,0.001,0.012927028484786473,True,0.12504914489414071445804339478038,0.12512511729697763583391915092474,0.125
30,4.0,0.0001,0.004087885338980056,True,0.12500491111461559504629277074284,0.12501250117198438525487313852802,0.125
30,4.0,0.00001,0.0012927028484786473,True,0.12500049107773411587154236840969,0.12500125001171885937602540029306,0.125
30,4.0,0.000001,0.0004087885338980056,True,0.12500004910743615767841378044996,0.12500012500011718760937510253916,0.125
30,8.0,0.01,0.025271211565683255,True,0.1233390827793681448567559932605,0.12626182916015111926688784040379,0.125
30,8.0,0.001,0.007991458777954893,True,0.12483498104935185908483726198155,0.12512511729697763583391915092474,0.125
30,8.0,0.0001,0.0025271211565683254,True,0.12498350873190251976544135317035,0.12501250117198438525487313852802,0.125
30,8.0,0.00001,0.0007991458777954893,True,0.12499835097935953610650157695886,0.12500125001171885937602540029306,0.125
30,8.0,0.000001,0.00025271211565683257,True,0.12499983509899754609850911904607,0.12500012500011718760937510253916,0.125
45,1.0,0.01,0.21427414525845528,True,0.12592604193359994118781384978558,0.12626182916015111926688784040379,0.125
45,1.0,0.001,0.06775943427024875,True,0.12509198211173399605325742149436,0.12512511729697763583391915092474,0.125
45,1.0,0.0001,0.02142741452584553,True,0.12500919203603786245385159589422,0.12501250117198438525487313852802,0.125
45,1.0,0.00001,0.006775943427024874,True,0.12500091914189777262046383479026,0.12500125001171885937602540029306,0.125
45,1.0,0.000001,0.002142741452584553,True,0.12500009191357276243389825358205,0.12500012500011718760937510253916,0.125
45,4.0,0.01,0.03974161374865474,True,0.12558527526549943130383189005465,0.12626182916015111926688784040379,0.125
45,4.0,0.001,0.01256740173364114,True,0.12505813452480731971004334691435,0.12512511729697763583391915092474,0.125
45,4.0,0.0001,0.003974161374865473,True,0.12500580954787782196960428986076,0.12501250117198438525487313852802,0.125
45,4.0,0.00001,0.001256740173364114,True,0.12500058091576699587237577426104,0.12500125001171885937602540029306,0.125
45,4.0,0.000001,0.00039741613748654737,True,0.12500005809118651694970818786154,0.12500012500011718760937510253916,0.125
45,8.0,0.01,0.023420336197353682,True,0.12467608660709897505394976331825,0.12626182916015111926688784040379,0.125
45,8.0,0.001,0.00740616059505244,True,0.12496778652648462568761778112316,0.12512511729697763583391915092474,0.125
45,8.0,0.0001,0.0023420336197353684,True,0.12499678040703822273188734108979,0.12501250117198438525487313852802,0.125
45,8.0,0.00001,0.000740616059505244,True,0.12499967805822358943758461776235,0.12500125001171885937602540029306,0.125
45,8.0,0.000001,0.00023420336197353683,True,0.12499996780599753249864159037741,0.12500012500011718760937510253916,0.125
65,1.0,0.01,0.2702879611114979,True,0.12604515896316275643727669587448,0.12626182916015111926688784040379,0.125
65,1.0,0.001,0.08547255812353495,True,0.12510378145444197277576709579072,0.12512511729697763583391915092474,0.125
65,1.0,0.0001,0.02702879611114979,True,0.12501037085782333315343420329736,0.12501250117198438525487313852802,0.125
65,1.0,0.00001,0.008547255812353495,True,0.1250010370129624839086116819675,0.12500125001171885937602540029306,0.125
65,1.0,0.000001,0.002702879611114979,True,0.12500010370056810621250368545718,0.12500012500011718760937510253916,0.125
65,4.0,0.01,0.04056441398162546,True,0.12570502192661556502070459697076,0.12626182916015111926688784040379,0.125
65,4.0,0.001,0.012827594013191605,True,0.12507003890608191980875307423595,0.12512511729697763583391915092474,0.125
65,4.0,0.0001,0.004056441398162546,True,0.12500699928941468478482800522319,0.12501250117198438525487313852802,0.125
65,4.0,0.00001,0.0012827594013191605,True,0.12500069988296098495925554788105,0.12500125001171885937602540029306,0.125
65,4.0,0.000001,0.00040564413981625464,True,0.12500006998783632509036605117861,0.12500012500011718760937510253916,0.125
65,8.0,0.01,0.02035001655519383,True,0.12550880982982087302910033055533,0.12626182916015111926688784040379,0.125
65,8.0,0.001,0.006435240273654613,True,0.12505053309990621269583416316617,0.12512511729697763583391915092474,0.125
65,8.0,0.0001,0.002035001655519383,True,0.12500504985257366076203475241864,0.12501250117198438525487313852802,0.125
65,8.0,0.00001,0.0006435240273654613,True,0.12500050495070446855843736254373,0.12500125001171885937602540029306,0.125
65,8.0,0.000001,0.0002035001655519383,True,0.12500005049472493913867445469217,0.12500012500011718760937510253916,0.125
