sampling,batch_size,budget,cases,median_candidate_gain,median_preparation_gain,improvements_over_one_percent
batch,1,1,48,1.0188611428177117,0.87825114191572995,42
batch,1,4,48,1,0.7789863939896875,6
batch,1,8,48,1,0.1932348450372865,0
batch,8,1,48,1.0209038215355177,0.87022456967405548,44
batch,8,4,48,1.3605219774336432,1.3574007713810619,28
batch,8,8,48,1,0.37050940847728375,8
batch,64,1,48,1.0213555767872098,0.86981864900637362,44
batch,64,4,48,1.5414037979950725,1.5360740575669953,28
batch,64,8,48,1,0.64074798860068027,20
example,1,1,48,1.0188611428177117,0.87825114191572995,42
example,1,4,48,1,0.7789863939896875,6
example,1,8,48,1,0.1932348450372865,0
example,8,1,48,1.0171275802243449,0.8687621440716653,40
example,8,4,48,1.026913997544491,0.989078901844338,25
example,8,8,48,1,0.17869667821048141,0
example,64,1,48,1.0169378299736329,0.86817232437191549,40
example,64,4,48,1.163302391190548,1.1627140157131906,28
example,64,8,48,1,0.18443230863789101,5
