sigma,budget,preparation_gain,global_gain_ceiling
0.0,1.0,0.7851293655281296,1.3402996640017613
0.0,1.1916666666666667,0.8304654842585205,1.4176932597190903
0.0,1.3833333333333333,0.8784194692308066,1.4995558326501974
0.0,1.5750000000000002,0.9291424852083671,1.586145437187724
0.0,1.7666666666666666,0.9827944257373288,1.6777350286885329
0.0,1.9583333333333335,1.0395444171770496,1.7746133239075579
0.0,2.1500000000000004,1.0995713518350752,1.8770857111161146
0.0,2.341666666666667,1.1630644518871929,1.9854752127736373
0.0,2.533333333333333,1.2302238658601847,2.100123503787444
0.0,2.725,1.3012612995576016,2.22139198857039
0.0,2.916666666666667,1.376400683417384,2.349662940291606
0.0,3.1083333333333334,1.4558788784050742,2.48534070591155
0.0,3.3000000000000003,1.5399464226677317,2.628852980800017
0.0,3.4916666666666667,1.6288683213022985,2.7806521569550466
0.0,3.6833333333333336,1.7229248817279372,2.941216749072719
0.0,3.875,1.8224125972957321,3.1110529029632072
0.0,4.066666666666666,1.927645081921008,3.2906959910680462
0.0,4.258333333333334,2.038954058684705,3.480712300108192
0.0,4.45,2.1566904055200187,3.6817008161827256
0.0,4.6416666666666675,2.2812252612805124,3.8942951129454753
0.0,4.833333333333334,2.4129511956771497,4.119165348811533
0.0,5.025,2.5522834467700046,4.35702037948946
0.0,5.216666666666667,2.699661229919035,4.6086099924985175
0.0,5.408333333333333,2.8555491223171923,4.874727270714739
0.0,5.6000000000000005,3.020438527471106,5.1562110923964575
0.0,5.791666666666667,3.1948492242467643,5.453948775569985
0.0,5.983333333333333,3.379331005362048,5.768878875111456
0.0,6.175000000000001,3.5744654104877904,6.101994141341972
0.0,6.366666666666667,3.780867559441639,6.454344649462308
0.0,6.558333333333334,3.999188091214452,6.827041109692232
0.0,6.75,4.230115214936315,7.221258368548755
0.0,6.941666666666667,4.47437687938907,7.638239112300631
0.0,7.133333333333334,4.732743067692043,8.079297784273047
0.0,7.325,5.006028224412525,8.54582472835137
0.0,7.5166666666666675,5.295093822976908,9.03929057174525
0.0,7.708333333333334,5.600851081523633,9.561250860828931
0.0,7.9,5.924263834742284,10.11335096467106
0.0,8.091666666666667,6.266351573125854,10.697331261711717
0.0,8.283333333333335,6.628192655466876,11.315032625936025
0.0,8.475000000000001,7.010927709236742,11.968402229838953
0.0,8.666666666666668,7.415763225701512,12.659499682473513
0.0,8.858333333333334,7.843975363241432,13.390503521931088
0.0,9.05,8.296913967281643,14.163718082720896
0.0,9.241666666666667,8.776006838085614,14.981580759695241
0.0,9.433333333333334,9.282764213482631,15.846669691419972
0.0,9.625,9.818783536456145,16.761711887209323
0.0,9.816666666666666,10.385754499407465,17.72959182344374
0.0,10.008333333333335,10.985464362475605,18.75336053627018
0.0,10.200000000000001,11.619803569475723,19.83624523934626
0.0,10.391666666666667,12.290771815071299,20.981659496945934
0.0,10.583333333333334,13.000484137121834,22.19321398449758
0.0,10.775,13.751177720119907,23.47472787047147
0.0,10.966666666666667,14.545219249524148,24.83024085549838
0.0,11.158333333333333,15.385111398309444,26.264025906668728
0.0,11.350000000000001,16.27350221084154,27.78060272715469
0.0,11.541666666666668,17.21319215723947,29.38475200361555
0.0,11.733333333333334,18.207142876418033,31.081530476298077
0.0,11.925,19.258488976930344,32.87628687933729
0.0,12.116666666666667,20.370546340744696,34.774678801505885
0.0,12.308333333333334,21.546818545265744,36.782690520563044
0.0,12.5,22.791011534024534,38.90665186741912
0.0,12.691666666666668,24.107062322430277,41.15325817958646
0.0,12.883333333333335,25.499109297609426,43.52959140680826
0.0,13.075000000000001,26.971565950442926,46.04314243540468
0.0,13.266666666666667,28.529005755264517,48.701834701701074
0.0,13.458333333333334,30.17643572786217,51.51404916898062
0.0,13.65,31.91915486948442,54.48865074669259
0.0,13.841666666666667,33.76240160574313,57.63501623519952
0.0,14.033333333333335,35.71225455824684,60.96306388414895
0.0,14.225000000000001,37.77509736360242,64.4832846576528
0.0,14.416666666666668,39.95682456952776,68.20677530482621
0.0,14.608333333333334,42.26460377083739,72.14527333993216
0.0,14.8,44.706540619018554,76.31119404240873
0.0,14.991666666666667,47.29027658268654,80.7176695933992
0.0,15.183333333333334,50.02443947910918,85.37859047217091
0.0,15.375000000000002,52.921768676011936,90.30864924290145
0.0,15.566666666666668,55.987697871797124,95.52338686986964
0.0,15.758333333333335,59.22805982276102,101.03924170705143
0.0,15.950000000000001,62.68105375613919,106.87360131653821
0.0,16.141666666666666,66.33830146169392,113.04485727914279
0.0,16.333333333333336,70.1967625001224,119.57246316994984
0.0,16.525,74.32630436261363,126.47699588158994
0.0,16.71666666666667,78.8125581954177,133.78022048852282
0.0,16.908333333333335,83.58702679719916,141.50515885682069
0.0,17.1,88.950431172945,149.67616221571294
0.0,17.291666666666668,94.43853635872608,158.3189879196748
0.0,17.483333333333334,100.75858111967243,167.46088064301372
0.0,17.675,107.21436210023232,177.13065826293587
0.0,17.866666666666667,116.39856821952327,187.3588027017814
0.0,18.058333333333334,124.7685303488535,198.17755601482006
0.0,18.25,140.07838777255435,209.62102202649345
0.0,18.441666666666666,158.6659600064983,221.72527383547512
0.0,18.633333333333333,187.3431815231288,234.52846752747502
0.0,18.825000000000003,239.02022177917647,248.0709624541935
0.0,19.01666666666667,362.7923750346299,262.39544845761685
0.0,19.208333333333336,27164.955358100597,277.54708044069366
0.0,19.400000000000002,-700.4142003248787,293.57362070857715
0.0,19.59166666666667,-218.88118676091437,310.5255895291576
0.0,19.783333333333335,-157.32937767697973,328.4564243874983
0.0,19.975,-68.81783210951691,347.42264843615925
0.0,20.166666666666668,-36.893622085232145,367.48404867245506
0.0,20.358333333333334,-37.6064261196093,388.7038644042672
0.0,20.55,-20.80986902406437,411.14898659854396
0.0,20.741666666666667,-14.569876346311881,434.89016874089174
0.0,20.933333333333334,-10.294532618329608,460.002249870929
0.0,21.125,-7.317341649073194,486.56439049646445
0.0,21.316666666666666,-5.221811570430569,514.660322130215
0.0,21.508333333333336,-3.7362811401912013,544.378611235635
0.0,21.700000000000003,-2.678126111236031,575.8129384138825
0.0,21.89166666666667,-1.630641241385799,609.0623937120771
0.0,22.083333333333336,-1.6806898797652954,644.2317889836106
0.0,22.275000000000002,-0.9920007654258124,681.4319882852976
0.0,22.46666666666667,-0.7131425486541826,720.7802573527882
0.0,22.658333333333335,-0.6247366871810368,762.40063325592
0.0,22.85,-0.4494456468743069,806.4243153992642
0.0,23.041666666666668,-0.2652726847873133,852.990079100413
0.0,23.233333333333334,-0.23270148546804245,902.2447130497169
0.0,23.425,-0.16745865636874843,954.3434820305142
0.0,23.616666666666667,-0.12051303014492509,1009.450616358387
0.0,23.808333333333334,-0.08673055467376091,1067.7398295823841
0.0,24.0,-0.051108702450635465,1129.394866080155
0.001,1.0,0.7851305208917351,1.3402962010598718
0.001,1.1916666666666667,0.8304670404516092,1.4176862086098476
0.001,1.3833333333333333,0.8784211176590249,1.4995421456917553
0.001,1.5750000000000002,0.9291433748007002,1.5861197761688033
0.001,1.7666666666666666,0.982792633828331,1.6776881669016703
0.001,1.9583333333333335,1.0395359935689963,1.7745294881792184
0.001,2.1500000000000004,1.0995486235918697,1.8769381859163652
0.001,2.341666666666667,1.1630130609951024,1.985219107049103
0.001,2.533333333333333,1.2301176541105738,2.0996839041203024
0.001,2.725,1.3010535640697727,2.2206446387275065
0.001,2.916666666666667,1.37600935572315,2.3484028608084224
0.001,3.1083333333333334,1.455161596167709,2.483231431831922
0.001,3.3000000000000003,1.5386588977209923,2.625344793046097
0.001,3.4916666666666667,1.6265952931163834,2.7748509846740683
0.001,3.6833333333333336,1.718966435957393,2.9316751491061237
0.001,3.875,1.8155985378269381,3.095439129999872
0.001,4.066666666666666,1.9160348903982807,3.265274933805736
0.001,4.258333333333334,2.019358392116782,3.4395418669686806
0.001,4.45,2.123922190117106,3.615410923290531
0.001,4.6416666666666675,2.2269593935418994,3.7882834157782095
0.001,4.833333333333334,2.324059551646545,3.9510419647515316
0.001,5.025,2.4085603503037234,4.09322442624817
0.001,5.216666666666667,2.4710480991016284,4.200411252885605
0.001,5.408333333333333,2.499417832487655,4.254443803676944
0.001,5.6000000000000005,2.4802313024318154,4.235422157552385
0.001,5.791666666666667,2.402070695945158,4.126327375078233
0.001,5.983333333333333,2.2606054149655113,3.919885334483516
0.001,6.175000000000001,2.063087093194684,3.624868513585706
0.001,6.366666666666667,1.828684307192327,3.26732078444852
0.001,6.558333333333334,1.583056777400298,2.8841969313477254
0.001,6.75,1.3500756074493654,2.5122919907664225
0.001,6.941666666666667,1.1457351468711665,2.1788013317310577
0.001,7.133333333333334,0.9767731709327236,1.89773657664256
0.001,7.325,0.8428101626995302,1.6717191355637042
0.001,7.5166666666666675,0.7395167278521716,1.496131319290276
0.001,7.708333333333334,0.6611743203483987,1.3630561439370565
0.001,7.9,0.6021923658043131,1.2639443565886004
0.001,8.091666666666667,0.5577833893434198,1.1910180411225189
0.001,8.283333333333335,0.5241344528517543,1.1378061829058863
0.001,8.475000000000001,0.49833748052689997,1.0992016869759802
0.001,8.666666666666668,0.47823340909703566,1.0713045837614141
0.001,8.858333333333334,0.462246305660035,1.0511992816987297
0.001,9.05,0.44923818923297926,1.036736248851852
0.001,9.241666666666667,0.4383928038371099,1.0263453082921221
0.001,9.433333333333334,0.429126964108094,1.0188865525596151
0.001,9.625,0.42102483468315194,1.0135358739646159
0.001,9.816666666666666,0.41379006042098904,1.0096991516211689
0.001,10.008333333333335,0.40721128470820456,1.0069488897492658
0.001,10.200000000000001,0.401137488092677,1.0049778917467336
0.001,10.391666666666667,0.395460431366662,1.0035656089356435
0.001,10.583333333333334,0.3901021933232322,1.0025538018864042
0.001,10.775,0.3850063413336468,1.0018289884561522
0.001,10.966666666666667,0.38013168286095905,1.0013098111604042
