case,angle,budget,epsilon,ridge,stages,risk,lower,static,static_optimal,slow_column,slow_lower,violation
0,0.7837917079472358,0.43757292685975285,0.05210865259566313,0.02,2,0.2700090354677704,0.21545578587622188,0.2552046329841737,False,0.8990489887816318,0.8648766313750226,False
1,1.00464663472159,0.1517714035253822,1.7679718846630186,0.1,64,1.1834615602996752,1.183455638223464,1.183455638223464,True,0.9041936507330299,0.9041883798432756,False
2,0.49029806192854986,0.51714292031595,0.5385974328986843,0.1,8,0.3993529085380938,0.39882822107649396,0.39882822107649396,True,0.8492674575117295,0.8484434224546281,False
3,0.38748299548716303,0.12146361202031504,0.656292490150521,0.0,64,0.7209167415956712,0.7174600788293976,0.72091623235533,False,0.9910361677176898,0.9910354831368525,False
4,0.9059341224235817,1.5351508896613055,0.473000948671215,0.0,3,0.21917904742753963,0.17313302239626227,0.17313302239626227,True,0.6575860823070829,0.5554156735847401,False
5,1.0975399501812826,6.640295877901641,0.0023928128090278367,0.1,16,0.00024117738770313487,1.693787819640901e-05,1.693787819640901e-05,True,0.011086410682700124,0.007141778486189931,False
6,0.6303270517672841,0.7910980994290421,0.6429621194663759,0.1,16,0.340506484428993,0.3378591103173188,0.3378591103173188,True,0.7369086089942235,0.7332701018080069,False
7,0.5917414560822842,9.817980821692334,3.801170287776474e-09,0.1,3,4.3520952168481176e-05,4.712862723564807e-10,1.1553161472013604e-09,False,0.02835180352261687,0.026438285030442675,False
8,0.9131002387267897,1.207614557339316,0.8153660027385033,0.1,8,0.2648852124691482,0.25635601896807,0.25635601896807,True,0.5033074665948751,0.4911878969571252,False
9,1.1146923787544274,0.24844672409139487,0.2665977369201195,0.1,1,0.4516165276129036,0.38322107044925874,0.4430093523167793,False,0.842418307224788,0.8280292532832867,False
10,0.7895895899621861,0.38059676418506677,2.191432228360916,0.0,3,1.243486209397808,1.2404180864034975,1.2404180864034975,True,0.8959104330912108,0.8935039000997852,False
11,0.9394995057469274,5.34943541810667,0.0012217406936935143,0.02,8,0.004992583518210279,0.00013406951091372957,0.00013666739664737118,False,0.12178380380457371,0.090155605218455,False
12,0.9979070359543633,0.21620694043715674,0.028314552235391203,0.0,64,0.37112156096240856,0.33365760166532465,0.3710628648937524,False,0.9059162378847682,0.9057342744622399,False
13,1.205194364097461,2.6500351131308295,0.16482335805861684,0.0,8,0.034216318166537314,0.02871260710827314,0.02871260710827314,True,0.21060166933346147,0.18220606892152047,False
14,1.1932109443230132,0.11425024126480127,0.12411649782027816,0.1,1,0.4771323181883624,0.4371406336636601,0.4743955513680027,False,0.9143842727589024,0.909392167008636,False
15,1.1506921441583262,0.6357693655643036,0.04940890148246229,0.02,16,0.21927390414874726,0.14343265865012667,0.2156879597399382,False,0.6771635216181877,0.6690489466871524,False
16,0.7161916881362931,1.1775555705469598,0.07101980387141751,0.02,1,0.12840448237214805,0.0783118732224051,0.08580904628303705,False,0.847917205448792,0.714327180079236,False
17,0.8462104448083755,0.34105480782048625,0.2314203812256031,0.0,1,0.3908746343282743,0.3420444762288917,0.38672044096127517,False,0.8989803891837808,0.8913705900330589,False
18,0.9721834271033648,8.109603440697603,0.00029529014516388647,0.0,8,0.00570656217089523,5.841657946438347e-06,5.841657946438347e-06,True,0.15037292860422058,0.029017233679158653,False
19,0.4265252539291271,0.8219237621104336,0.2505398105085838,0.0,3,0.2226594753077377,0.22037754454650366,0.22037754454650366,True,0.9370894567326169,0.9290087207806168,False
20,0.8718398956064005,2.3249000419205994,0.004762019654034908,0.1,8,0.009834654500587897,0.0042390260041248766,0.007534351629587739,False,0.2878139034412675,0.274173326987067,False
21,1.1804032824245834,3.0549044690423615,0.26606466839524046,0.02,1,0.1403790858861701,0.02426443477612069,0.02426443477612069,True,0.42518509248730185,0.13338029116972736,False
22,1.1455817371292127,3.1072841144018906,0.051083351773843405,0.1,2,0.010073918977711814,0.00542960303715539,0.005544477535411155,False,0.17895716639346013,0.08655842330051872,False
23,1.2936090602081425,1.1416853621047094,0.21026152927827146,0.0,3,0.17444139945459247,0.14640376875870764,0.16268025112246806,False,0.4592972893794507,0.4363713827099463,False
24,0.18717393169928923,2.3620542304446173,0.00035377097819912,0.0,8,0.004990563397928558,0.00444088351249453,0.00479602613488806,False,0.9652310114537941,0.9595838844745255,False
25,0.20654725053148126,5.660578109150321,4.0144213581349066e-05,0.1,64,0.00015094519416355235,7.938877910283245e-06,7.938877910283245e-06,True,0.2871182580835753,0.2858088362298849,False
26,1.3773467593656843,1.6501329093274992,1.5401886541159588,0.0,1,0.6834683525672889,0.27299463366352544,0.27299463366352544,True,0.611014944777936,0.2637106793476766,False
27,0.9500731797377603,0.44153219195169097,1.3875642410713698,0.02,2,0.8112099561395005,0.8110177942175755,0.8110177942175755,True,0.8171823680363168,0.8167779947955337,False
28,1.16842925931155,3.7689527644732785,0.06698297975367694,0.0,64,0.006246592481764983,0.00601853512491558,0.00601853512491558,True,0.10323789584447302,0.10095903642892072,False
29,0.2773730268764879,0.13643494618987115,0.2562011850406797,0.0,3,0.5100211647803626,0.4781050319341252,0.5100201376077274,False,0.9948041480488907,0.9947987706403963,False
30,1.2008783956268363,9.824079131411409,0.002539691778280739,0.0,2,0.16047974436338894,3.1734148463483015e-06,3.1734148463483015e-06,True,0.6807694588009515,0.0018878961573308036,False
31,0.23514883268616482,5.5512854607616475,2.164628937341948e-05,0.1,16,2.1045444190929626e-05,5.953781629765333e-06,5.953781629765333e-06,True,0.28427648568332575,0.28279578004372136,False
32,0.7957977467404163,0.5018186051311309,0.02354999645204878,0.0,16,0.22431604188629758,0.18758796116117396,0.2232061062686685,False,0.8624880545795572,0.8601155233514413,False
33,1.3123546298101705,6.5028115858031885,0.0013609051997819088,0.1,16,5.234865100121455e-05,1.5064395546112562e-05,4.021064043958895e-05,False,0.0022657896588986555,0.002151860835729733,False
34,0.7273577428953182,0.46189469351004914,0.3833073888131996,0.02,3,0.39423816082903346,0.38295817622523326,0.38642494203613464,False,0.8859640110654149,0.8733964486108601,False
