angle_deg,budget,epsilon_factor,epsilon,relative_improvement,expected_sign,precision_digits
15,0.1,0.1,0.0824329322855097337208768674299,2.202503993836284885537485914733685301741e-16,True,80
15,0.1,0.5,0.41216466142754866860438433715,8.973164419333010349496076637934604473566e-17,True,80
15,0.1,0.99,0.816086029626546363836680987556,1.352738354673282456409713960152427083236e-18,True,80
15,0.1,1.0,0.824329322855097337208768674299,-3.623295586337279441400328081796275221279e-32,True,80
15,0.1,1.01,0.832572616083648310580856361042,-1.33927827154227712441730560790098801431e-18,True,80
15,0.1,2.0,1.6486586457101946744175373486,-8.973164419333017596087249312493487274222e-17,True,80
15,0.5,0.1,0.0380630638707644289031332031265,2.65604852758314012373773195884388149306e-14,True,80
15,0.5,0.5,0.190315319353822144515666015633,1.082093844570877714578198576407476755356e-14,True,80
15,0.5,0.99,0.376824332320567846141018710952,1.631297253116736465735876091347907492605e-16,True,80
15,0.5,1.0,0.380630638707644289031332031265,-5.269171898062401755150181522024036571946e-28,True,80
15,0.5,1.01,0.384436945094720731921645351578,-1.615065439663374255923702999404446087748e-16,True,80
15,0.5,2.0,0.76126127741528857806266406253,-1.082093844570983098016159824442579758986e-14,True,80
15,1.0,0.1,0.0144879683122989238922865065899,1.910549581302340275347593742451573832652e-13,True,80
15,1.0,0.5,0.0724398415614946194614325329496,7.783720516415326227725161320545203480489e-14,True,80
15,1.0,0.99,0.14343088629175934653363641524,1.17342520345284459660251370746059910124e-15,True,80
15,1.0,1.0,0.144879683122989238922865065899,-2.726383728497250934539226157077676812575e-26,True,80
15,1.0,1.01,0.146328479954219131312093716558,-1.161749330835928406158652893148338934205e-15,True,80
15,1.0,2.0,0.289759366245978477845730131798,-7.783720516420778995182155822414281932803e-14,True,80
15,4.0,0.1,0.000044058524599973640882031301337,0.000000000003916855186979181360247728236489905547054,True,80
15,4.0,0.5,0.000220292622999868204410156506685,0.000000000001595755816910653760206018537187976005057,True,80
15,4.0,0.99,0.000436179393539739044732109883236,2.405662034415077475063973326367949357955e-14,True,80
15,4.0,1.0,0.00044058524599973640882031301337,-1.145896482265688108210055506551489138924e-23,True,80
15,4.0,1.01,0.000444991098459733772908516143504,-2.3817251010296468181293827623444981336e-14,True,80
15,4.0,2.0,0.00088117049199947281764062602674,-0.000000000001595755816933571689851332299352177115188,True,80
15,8.0,0.1,0.0000000194115358992648247230508427066,0.000000000009822611984780861482707855733669621300859,True,80
15,8.0,0.5,0.0000000970576794963241236152542135328,0.000000000004001804882645793943062737900774059269275,True,80
15,8.0,0.99,0.000000192174205402721764758203342795,6.032871675282735528796590086110960215987e-14,True,80
15,8.0,1.0,0.000000194115358992648247230508427066,-7.206499044328060934163962743883853942558e-23,True,80
