angle_deg,budget,epsilon_factor,epsilon,relative_improvement,expected_sign,precision_digits
15,8.0,1.01,0.000000196056512582574729702813511336,-5.972843115740616855531073635829184977785e-14,True,80
15,8.0,2.0,0.000000388230717985296494461016854131,-0.000000000004001804882789923923949299119457338524153,True,80
30,0.1,0.1,0.0840965131393047053864415174618,7.371912027427743874901578860490157452699e-16,True,80
30,0.1,0.5,0.420482565696523526932207587309,3.003371566729819173266068111447612565275e-16,True,80
30,0.1,0.99,0.832555480079116583325771022872,4.527695829240533635458533037483405482083e-18,True,80
30,0.1,1.0,0.840965131393047053864415174618,-4.059108345528519137044828975070583889645e-31,True,80
30,0.1,1.01,0.849374782706977524403059326364,-4.482644129447903272587409030968554647232e-18,True,80
30,0.1,2.0,1.68193026278609410772883034924,-3.003371566729827291482759168485886654933e-16,True,80
30,0.5,0.1,0.042062002605411478979842246993,8.952079009472001411824497734522462736851e-14,True,80
30,0.5,0.5,0.210310013027057394899211234965,3.647143300154905123666967737262940770828e-14,True,80
30,0.5,0.99,0.416413825793573641900438245231,5.498205980074067728894177178193280639832e-16,True,80
30,0.5,1.0,0.42062002605411478979842246993,-5.985744413341358529805808123462390725381e-27,True,80
30,0.5,1.01,0.424826226314655937696406694629,-5.443497462978519680115953694426298904579e-16,True,80
30,0.5,2.0,0.84124005210822957959684493986,-3.647143300156102272549636008968901932453e-14,True,80
30,1.0,0.1,0.0176921206317764204586922398597,6.567442612395920726253401387761419442705e-13,True,80
30,1.0,0.5,0.0884606031588821022934611992984,2.675624768011243830367150373358126252804e-13,True,80
30,1.0,0.99,0.175151994254586562541053174611,4.03360517758910076502040206403184269786e-15,True,80
30,1.0,1.0,0.176921206317764204586922398597,-3.221535554647199044137815253414616617507e-25,True,80
30,1.0,1.01,0.178690418380941846632791622583,-3.993469803328818280721134191581339835874e-15,True,80
30,1.0,2.0,0.353842412635528409173844797194,-2.67562476801768690147644477144640188331e-13,True,80
30,4.0,0.1,0.0000979759690372113113176802694738,0.00000000001530038765602427935660722122855080908705,True,80
30,4.0,0.5,0.000489879845186056556588401347369,0.000000000006233491267165533746639083942789741277528,True,80
30,4.0,0.99,0.000969962093468391982045034667791,9.397222998605650571844826813494787384633e-14,True,80
30,4.0,1.0,0.000979759690372113113176802694738,-1.748538602140104411709928415161444635095e-22,True,80
30,4.0,1.01,0.000989557287275834244308570721686,-9.303718326948651106256408869279484329292e-14,True,80
30,4.0,2.0,0.00195951938074422622635360538948,-0.00000000000623349126751524146706710482513172696056,True,80
30,8.0,0.1,0.0000000959929050878058956960546415774,0.0000000000400357269618748072660616308278315735669,True,80
30,8.0,0.5,0.000000479964525439029478480273207887,0.00000000001631085172449880445455778538311684774426,True,80
30,8.0,0.99,0.000000950329760369278367390940951617,2.458922358735965206374679274620271181285e-13,True,80
30,8.0,1.0,0.000000959929050878058956960546415774,-1.19719747835110836012452625880207972442e-21,True,80
30,8.0,1.01,0.000000969528341386839546530151879932,-2.434455493419139251109425950982781095941e-13,True,80
30,8.0,2.0,0.00000191985810175611791392109283155,-0.00000000001631085172689319941126000210336590026187,True,80
45,0.1,0.1,0.0868123445394584876451176100064,1.204317012660702905468177410803895273965e-15,True,80
45,0.1,0.5,0.434061722697292438225588050032,4.906476718247301713785194478792720670843e-16,True,80
45,0.1,0.99,0.859442210940639027686664339063,7.396698570220995908261103637598815189289e-18,True,80
45,0.1,1.0,0.868123445394584876451176100064,-1.083308120401631406387645839903732943187e-30,True,80
45,0.1,1.01,0.876804679848530725215687861064,-7.323099579474684124338906847983678014947e-18,True,80
45,0.1,2.0,1.73624689078916975290235220013,-4.90647671824732337994760251142084842376e-16,True,80
45,0.5,0.1,0.0493068691395239787845957380615,1.476531634212478056892217796526666980701e-13,True,80
45,0.5,0.5,0.246534345697619893922978690308,6.015499250494316006357644438003177191592e-14,True,80
45,0.5,0.99,0.488138004481287389967497806809,9.068591834755671085226306715515895075051e-16,True,80
45,0.5,1.0,0.493068691395239787845957380615,-1.628380405472361990473981507273335771532e-26,True,80
45,0.5,1.01,0.497999378309192185724416954421,-8.978357090455292349148903064709564080727e-16,True,80
45,0.5,2.0,0.98613738279047957569191476123,-6.015499250497572767168589161984125154607e-14,True,80
45,1.0,0.1,0.02431167344342142108048623205,0.000000000001113756621142638794875407682622440024835,True,80
45,1.0,0.5,0.12155836721710710540243116025,4.537526975020075020323743780765045819527e-13,True,80
45,1.0,0.99,0.240685567089872068696813697295,6.840492926253397959013886681706587337521e-15,True,80
45,1.0,1.0,0.2431167344342142108048623205,-9.265117972110187988260350290383348432607e-25,True,80
45,1.0,1.01,0.245547901778556352912910943705,-6.772428321865825436458562035771268118318e-15,True,80
45,1.0,2.0,0.486233468868428421609724641,-4.537526975038605256267964156741566520108e-13,True,80
45,4.0,0.1,0.00034934892766462016204744455208,0.00000000003237716700506304501095789957435016586487,True,80
45,4.0,0.5,0.0017467446383231008102372227604,0.00000000001319069766826540336149174153623247354725,True,80
45,4.0,0.99,0.00345855438387973960426970106559,1.988547379463972697049837692155939502688e-13,True,80
45,4.0,1.0,0.0034934892766462016204744455208,-7.829752725162421149734399211135488823987e-22,True,80
45,4.0,1.01,0.00352842416941266363667918997601,-1.968760853956376401880030649914386295966e-13,True,80
45,4.0,2.0,0.0069869785532924032409488910416,-0.00000000001319069766983135390652422576617935338948,True,80
45,8.0,0.1,0.00000122044673260420010389401714522,0.00000000009322740408932348910511677233154965645588,True,80
45,8.0,0.5,0.00000610223366302100051947008572611,0.00000000003798153499550708874247177229955484292957,True,80
45,8.0,0.99,0.0000120824226527815810285507697377,5.725859483123151300777333331663950769484e-13,True,80
45,8.0,1.0,0.0000122044673260420010389401714522,-6.491686506846665222441591369775358016546e-21,True,80
45,8.0,1.01,0.0000123265119993024210493295731668,-5.668885886110712120603732451579560608103e-13,True,80
45,8.0,2.0,0.0000244089346520840020778803429045,-0.00000000003798153500849046175616510274443802566912,True,80
65,0.1,0.1,0.0918949919796357809785607363237,1.183074870778872451518399693888963832903e-15,True,80
65,0.1,0.5,0.459474959898178904892803681618,4.819934658728733422158486760846443430594e-16,True,80
65,0.1,0.99,0.909760420598394231687751289604,7.266233153861382524799682872925492524766e-18,True,80
65,0.1,1.0,0.918949919796357809785607363237,-1.045429655148655825306207906973902182371e-30,True,80
65,0.1,1.01,0.928139418994321387883463436869,-7.193932326461857185558190816130823361151e-18,True,80
65,0.1,2.0,1.83789983959271561957121472647,-4.819934658728754330751589733962949554752e-16,True,80
65,0.5,0.1,0.0655328749425361134988059509484,1.46860435768401026707529245437732054932e-13,True,80
65,0.5,0.5,0.327664374712680567494029754742,5.983202938711679788953702721045442012451e-14,True,80
65,0.5,0.99,0.648775461931107523638178914389,9.019903927547384260975729083154186656807e-16,True,80
65,0.5,1.0,0.655328749425361134988059509484,-1.610942283262282079895380562793352410025e-26,True,80
65,0.5,1.01,0.661882036919614746337940104579,-8.930153640031677409276922242504967001076e-16,True,80
65,0.5,2.0,1.31065749885072226997611901897,-5.983202938714901673520227285205232773577e-14,True,80
65,1.0,0.1,0.0429455769823407762110822431734,0.00000000000114989412686009296160638691864326144191,True,80
65,1.0,0.5,0.214727884911703881055411215867,4.684753850164896591204372162909932523278e-13,True,80
65,1.0,0.99,0.425161212125173684489714207417,7.06244298922561384414715401979657621655e-15,True,80
65,1.0,1.0,0.429455769823407762110822431734,-9.876113386532040761911280096420897229793e-25,True,80
65,1.0,1.01,0.433750327521641839731930656051,-6.992169926621600449982911842865521746022e-15,True,80
65,1.0,2.0,0.858911539646815524221644863468,-4.684753850184648817977436244433755083471e-13,True,80
65,4.0,0.1,0.00340152578775200035229350122735,0.0000000000510529506631986018609190949189610478138,True,80
65,4.0,0.5,0.0170076289387600017614675061368,0.00000000002079935026903838838912407254441881875517,True,80
65,4.0,0.99,0.0336751052987448034877056621508,3.135580423394498699060862882903495810463e-13,True,80
65,4.0,1.0,0.0340152578775200035229350122735,-1.94675837273500533807896372263930819658e-21,True,80
65,4.0,1.01,0.0343554104562952035581643623963,-3.104380656928053393299169482654977894723e-13,True,80
65,4.0,2.0,0.068030515755040007045870024547,-0.00000000002079935027293190513459408322057674620045,True,80
65,8.0,0.1,0.000115703776847418665498843625646,0.0000000002028531361796548017066490626939328125545,True,80
65,8.0,0.5,0.000578518884237093327494218128228,0.00000000008264387027720156107650347525572684338129,True,80
65,8.0,0.99,0.00114546739078944478843855189389,0.000000000001245887461344404418653636525584861742638,True,80
65,8.0,1.0,0.00115703776847418665498843625646,-3.073504185672161610803976042530054243434e-20,True,80
65,8.0,1.01,0.00116860814615892852153832061902,-0.000000000001233490632346035930351841352275082870175,True,80
65,8.0,2.0,0.00231407553694837330997687251291,-0.00000000008264387033867164478994670747180636423189,True,80
80,0.1,0.1,0.0965866516945476115032943785607,5.74103838435606215015610143533934653368e-16,True,80
80,0.1,0.5,0.482933258472738057516471892804,2.338941563996912750483485529033870600604e-16,True,80
80,0.1,0.99,0.956207851776021353882614347751,3.526042558789073236346043669888124391065e-18,True,80
80,0.1,1.0,0.965866516945476115032943785607,-2.461791437906551144103385675551950343418e-31,True,80
80,0.1,1.01,0.975525182114930876183273223463,-3.490957558204597242240691305241297956463e-18,True,80
80,0.1,2.0,1.93173303389095223006588757121,-2.338941563996917674066361342136158807376e-16,True,80
80,0.5,0.1,0.0840592584885071797259152270161,7.167867277260217124749659220782710538416e-14,True,80
80,0.5,0.5,0.42029629244253589862957613508,2.920242224068749938729638566525160666442e-14,True,80
80,0.5,0.99,0.832186659036221079286560747459,4.402375212126147985427282199649310237899e-16,True,80
80,0.5,1.0,0.840592584885071797259152270161,-3.837516591256332769048705403387889354365e-27,True,80
80,0.5,1.01,0.848998510733922515231743792863,-4.358570483723649330671912879633868452515e-16,True,80
80,0.5,2.0,1.68118516977014359451830454032,-2.920242224069517442047889833078970407522e-14,True,80
80,1.0,0.1,0.0706595893763766634950541935152,5.713302475839553230630774616197814081247e-13,True,80
80,1.0,0.5,0.353297946881883317475270967576,2.327641749414669501515569784485427098483e-13,True,80
80,1.0,0.99,0.6995299348261289686010365158,3.509007662194044373529917607716505864678e-15,True,80
80,1.0,1.0,0.706595893763766634950541935152,-2.438062251133537316838952167038055549464e-25,True,80
80,1.0,1.01,0.713661852701404301300047354503,-3.474092163552921991929328838851456486331e-15,True,80
80,1.0,2.0,1.4131917875275332699010838703,-2.327641749419545626017836859119105002817e-13,True,80
80,4.0,0.1,0.0249278278718646162218223783881,0.00000000003404538867211939282204573496973759216386,True,80
80,4.0,0.5,0.12463913935932308110911189194,0.00000000001387034353257264807782367720181486780627,True,80
80,4.0,0.99,0.246785495931459700596041546042,2.091006554172518251406506479073949058437e-13,True,80
80,4.0,1.0,0.249278278718646162218223783881,-8.65738933828987513632005189571013939205e-22,True,80
80,4.0,1.01,0.25177106150583262384040602172,-2.070200536036253071372362407282271745836e-13,True,80
80,4.0,2.0,0.498556557437292324436447567762,-0.00000000001387034353430412594548165222907887818541,True,80
80,8.0,0.1,0.00621396602409310401345872765999,0.0000000002220458850051183599903041146472999165136,True,80
80,8.0,0.5,0.0310698301204655200672936383,0.00000000009046313831359571270180610836196428185467,True,80
80,8.0,0.99,0.0615182636385217297332414038339,0.00000000000136376586795412113333823727176841868741,True,80
80,8.0,1.0,0.0621396602409310401345872765999,-3.682610730903627095920396697331346036863e-20,True,80
80,8.0,1.01,0.0627610568433403505359331493659,-0.000000000001350196131608522533078694531161702030448,True,80
80,8.0,2.0,0.1242793204818620802691745532,-0.0000000000904631383872479273198786502803722158013,True,80
