angle_deg,epsilon,peak_budget,peak_gain,predicted_gain,predicted_exponent
15,1e-12,12.170882931465878,1.4129195947338615,1.3966887606717189,0.017037086855465844
15,1e-11,11.057953160916787,1.3604050671488501,1.3429583736550048,0.017037086855465844
15,1e-10,9.951351720661739,1.3101410001245208,1.2912949857939062,0.017037086855465844
15,1e-09,8.852757579599444,1.2621006827725174,1.241619079970707,0.017037086855465844
15,1e-08,7.764565750676573,1.2162849732405674,1.1938541980781388,0.017037086855465844
15,1e-07,6.690335113488197,1.172739089444469,1.1479268233397488,0.017037086855465844
15,1e-06,5.635651799978736,1.1315860759071628,1.1037662671573907,0.017037086855465844
15,9.999999999999999e-06,4.609890939979732,1.093099651110724,1.0613045603116664,0.017037086855465844
15,0.0001,3.630132518263459,1.0578788925321296,1.0204763483478756,0.017037086855465844
15,0.001,2.730461334999625,1.0272991032062921,0.9812187909864456,0.017037086855465844
15,0.01,1.9804145028800968,1.0045856300636578,0.9434714654030292,0.017037086855465844
30,1e-12,12.74287684601491,4.136359682735054,4.12084911619982,0.06698729810778065
30,1e-11,11.601215566488957,3.5500745179920306,3.5318269415622257,0.06698729810778065
30,1e-10,10.463249175951104,3.048532848798882,3.0269978816035663,0.06698729810778065
30,1e-09,9.330512761868714,2.6198543304464432,2.5943276176435623,0.06698729810778065
30,1e-08,8.20528430828518,2.2539501681051366,2.2235019814756494,0.06698729810778065
30,1e-07,7.091057713158295,1.9423290784214744,1.9056810820665577,0.06698729810778065
30,1e-06,5.9934342697804,1.6779913378191273,1.633288576669585,0.06698729810778065
30,9.999999999999999e-06,4.921910238810634,1.4554788900548465,1.3998310629113913,0.06698729810778065
30,0.0001,3.8938678252271566,1.271277974283247,1.199743286448056,0.06698729810778065
30,0.001,2.944008134539245,1.1251341615549828,1.028255474188098,0.06698729810778065
30,0.01,2.1438543869380546,1.0234693731814073,0.8812796305183304,0.06698729810778065
45,1e-12,13.469467008844411,25.841983173191338,25.837143364677118,0.1464466094067262
45,1e-11,12.318684450637642,18.44835290433007,18.441569753974196,0.1464466094067262
45,1e-10,11.168393615689455,13.17240084611323,13.16289073410674,0.1464466094067262
45,1e-09,10.019070361539821,9.408512990234497,9.395170519076602,0.1464466094067262
45,1e-08,8.871650617863903,6.72465951363031,6.705915202487337,0.1464466094067262
45,1e-07,7.727990741315417,4.812829779427493,4.786427091625641,0.1464466094067262
45,1e-06,6.591797083108627,3.45375296263049,3.4163695202931033,0.1464466094067262
45,9.999999999999999e-06,5.470591511219794,2.491947181651701,2.438474560619212,0.1464466094067262
45,0.0001,4.380064271463036,1.818506216538049,1.7404903501998568,0.1464466094067262
45,0.001,3.3542876349587885,1.3604505365460355,1.2422957811663924,0.1464466094067262
45,0.01,2.4678946421493246,1.077308293790901,0.886703455567337,0.1464466094067262
60,1e-12,14.364820244198462,329.019073115029,329.0185032381227,0.24999999999999994
60,1e-11,13.213531410829964,185.02171452503768,185.0207011230711,0.24999999999999994
60,1e-10,12.062254601001367,104.04658837616022,104.04478625719531,0.24999999999999994
60,1e-09,10.911012096270271,58.511887694072726,58.50868298301785,0.24999999999999994
60,1e-08,9.759877289704825,32.90754942044122,32.90185032381229,0.24999999999999994
60,1e-07,8.609084172164351,18.512205963111793,18.50207011230712,0.24999999999999994
60,1e-06,7.459370313291741,10.422510105769852,10.404478625719538,0.24999999999999994
60,9.999999999999999e-06,6.3130650590082755,5.88297315316362,5.850868298301788,0.24999999999999994
60,0.0001,5.177502060458355,3.3474984906028666,3.2901850323812303,0.24999999999999994
60,0.001,4.0754604897130635,1.953337031938081,1.850207011230713,0.24999999999999994
60,0.01,3.0736954348896965,1.2298614699405193,1.0404478625719544,0.24999999999999994
75,1e-12,15.790947725467273,8108.735535029085,8108.735506270722,0.37059047744873963
75,1e-11,14.639654890019191,3454.3207842866927,3454.320716791124,0.37059047744873963
75,1e-10,13.488362380082807,1471.54052435403,1471.5403659700978,0.37059047744873963
75,1e-09,12.337070060551342,626.8764569592861,626.8760854061569,0.37059047744873963
75,1e-08,11.185780355784711,267.05003647860974,267.04916531126446,0.37059047744873963
75,1e-07,10.034494726352207,113.7649650093693,113.76292437003315,0.37059047744873963
75,1e-06,8.883247940001652,48.46776895562902,48.4629972392427,0.37059047744873963
75,9.999999999999999e-06,7.732209991938215,20.656355960718134,20.645233184859297,0.37059047744873963
75,0.0001,6.582343992436568,8.820648814049783,8.794867786511583,0.37059047744873963
75,0.001,5.439084484910165,3.8057909809800052,3.7466130166524594,0.37059047744873963
75,0.01,4.3319526248106595,1.7297819202428606,1.596056863762969,0.37059047744873963
