angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,0.0,0.0,5.5,1.0072121228050841e-05,8.797925489091966e-06,8.797925489091966e-06,1.1448291123332057,2.1222230873491255e-05
15,0.0,0.0,5.75,6.161312827848016e-06,5.336211551001543e-06,5.336211551001543e-06,1.1546230446376533,1.2982173203541523e-05
15,0.0,0.0,6.0,3.768995120598923e-06,3.236575912395141e-06,3.236575912395141e-06,1.1645007633421394,7.941490548691881e-06
15,0.0,0.0,6.25,2.3055677606391007e-06,1.9630825233550433e-06,1.9630825233550433e-06,1.1744629852334105,4.8579793095738565e-06
15,0.0,0.0,6.5,1.4103607271462055e-06,1.1906697379608753e-06,1.1906697379608753e-06,1.1845104332302674,2.9717258072769844e-06
15,0.0,0.0,6.75,8.627451401059636e-07,7.22177701665278e-07,7.22177701665278e-07,1.1946438364360314,1.817864418133084e-06
15,0.0,0.0,7.0,5.277580142794888e-07,4.380229178207945e-07,4.380229178207945e-07,1.2048639301914494,1.112023736803885e-06
15,0.0,0.0,7.25,3.2283986160967576e-07,2.6567432931509907e-07,2.6567432931509907e-07,1.215171456128064,6.802468192242192e-07
15,0.0,0.0,7.5,1.9748743443800943e-07,1.6113962622819848e-07,1.6113962622819848e-07,1.2255671622220152,4.161203167278742e-07
15,0.0,0.0,7.75,1.2080691202891443e-07,9.77361238020364e-08,9.77361238020364e-08,1.2360518028483274,2.5454893562972576e-07
15,0.0,0.0,8.0,7.389994221907316e-08,5.927995564740475e-08,5.927995564740475e-08,1.2466261388356565,1.5571255461925997e-07
15,0.0,0.0,8.25,4.520603472320561e-08,3.5955110606556054e-08,3.5955110606556054e-08,1.2572909375214867,9.525240769435836e-08
15,0.0,0.0,8.5,2.7653412357719456e-08,2.1807876956235147e-08,2.1807876956235147e-08,1.2680469728078227,5.826775527079884e-08
15,0.0,0.0,8.75,1.6916131213639093e-08,1.322714599719724e-08,1.322714599719724e-08,1.278895025217347,3.5643521822510166e-08
15,0.0,0.0,9.0,1.0347927103367893e-08,8.022669587795361e-09,8.022669587795361e-09,1.2898358819500524,2.1803837045096347e-08
15,0.0,0.0,9.25,6.3300286563325055e-09,4.865995077742e-09,4.865995077742e-09,1.300870336940388,1.3337832067243568e-08
15,0.0,0.0,9.5,3.8722018806017235e-09,2.9513752046612826e-09,2.9513752046612826e-09,1.31199919091484,8.159011808288088e-09
15,0.0,0.0,9.75,2.36870134689449e-09,1.7900995499427162e-09,1.7900995499427162e-09,1.3232232514500601,4.991026523506682e-09
15,0.0,0.0,10.0,1.4489807721254156e-09,1.085750260978044e-09,1.085750260978044e-09,1.3345433330314593,3.0531081860593827e-09
