angle_deg,label_noise,samples_per_source,budget,step_size,batch_size,steps,seed,method,target_risk,hindsight_static_grid,gain_vs_hindsight_static
45,0.0,128,4.0,0.025,32,160,0,static_0.0,0.06108350968984392,0.0007648963978971141,0.012522142257066313
45,0.0,128,4.0,0.025,32,160,0,static_0.1,0.033962444928859914,0.0007648963978971141,0.022521829612070596
45,0.0,128,4.0,0.025,32,160,0,static_0.2,0.018199299825335663,0.0007648963978971141,0.04202889150890762
45,0.0,128,4.0,0.025,32,160,0,static_0.3,0.008099487184817981,0.0007648963978971141,0.09443763295667261
45,0.0,128,4.0,0.025,32,160,0,static_0.4,0.002869057943238605,0.0007648963978971141,0.26660193451293485
45,0.0,128,4.0,0.025,32,160,0,static_0.5,0.0007648963978971141,0.0007648963978971141,1.0
45,0.0,128,4.0,0.025,32,160,0,static_0.6,0.0013120361925596266,0.0007648963978971141,0.582984221193542
45,0.0,128,4.0,0.025,32,160,0,static_0.7,0.004549193051641874,0.0007648963978971141,0.1681389180925288
45,0.0,128,4.0,0.025,32,160,0,static_0.8,0.013714871715871732,0.0007648963978971141,0.0557713126118363
45,0.0,128,4.0,0.025,32,160,0,static_0.9,0.03052569970879292,0.0007648963978971141,0.025057456674016414
45,0.0,128,4.0,0.025,32,160,0,static_1.0,0.06389622826092448,0.0007648963978971141,0.011970916260872379
45,0.0,128,4.0,0.025,32,160,0,prepare_AB,0.00037301497901378743,0.0007648963978971141,2.050578236615109
45,0.0,128,4.0,0.025,32,160,0,prepare_BA,0.000555783931139724,0.0007648963978971141,1.3762477737140968
45,0.0,128,4.0,0.025,32,160,0,matched_static,0.015737828014144715,0.0007648963978971141,0.04860241179466739
45,0.0,128,4.0,0.025,32,160,0,greedy_oracle,0.000666483514746768,0.0007648963978971141,1.1476598910143159
45,0.0,128,4.0,0.025,32,160,1,static_0.0,0.06569625888285477,0.00019090518534919975,0.0029058760513229415
45,0.0,128,4.0,0.025,32,160,1,static_0.1,0.02204292715478945,0.00019090518534919975,0.00866060954648304
45,0.0,128,4.0,0.025,32,160,1,static_0.2,0.007604848513731164,0.00019090518534919975,0.025103088510508145
45,0.0,128,4.0,0.025,32,160,1,static_0.3,0.0014420420985287582,0.00019090518534919975,0.1323853066037188
45,0.0,128,4.0,0.025,32,160,1,static_0.4,0.00019090518534919975,0.00019090518534919975,1.0
45,0.0,128,4.0,0.025,32,160,1,static_0.5,0.0009842272997015087,0.00019090518534919975,0.19396452974541192
45,0.0,128,4.0,0.025,32,160,1,static_0.6,0.003758801776817834,0.00019090518534919975,0.05078884088184567
45,0.0,128,4.0,0.025,32,160,1,static_0.7,0.009540434252223085,0.00019090518534919975,0.02001011487550638
45,0.0,128,4.0,0.025,32,160,1,static_0.8,0.0194641884173992,0.00019090518534919975,0.00980802185302255
45,0.0,128,4.0,0.025,32,160,1,static_0.9,0.03401131852152723,0.00019090518534919975,0.005612989841260274
45,0.0,128,4.0,0.025,32,160,1,static_1.0,0.060734866375106195,0.00019090518534919975,0.0031432552130788473
45,0.0,128,4.0,0.025,32,160,1,prepare_AB,0.0019041361765616098,0.00019090518534919975,0.1002581578455835
45,0.0,128,4.0,0.025,32,160,1,prepare_BA,0.00021919611954356112,0.00019090518534919975,0.8709332343415912
45,0.0,128,4.0,0.025,32,160,1,matched_static,0.006201476168146447,0.00019090518534919975,0.03078382955493308
45,0.0,128,4.0,0.025,32,160,1,greedy_oracle,0.00020470487453942772,0.00019090518534919975,0.9325873933325899
45,0.0,128,4.0,0.025,32,160,2,static_0.0,0.06387322214807564,0.000662603211269809,0.010373724527842248
45,0.0,128,4.0,0.025,32,160,2,static_0.1,0.03358900204320453,0.000662603211269809,0.019726790644673586
45,0.0,128,4.0,0.025,32,160,2,static_0.2,0.01766915970564391,0.000662603211269809,0.03750055024168236
45,0.0,128,4.0,0.025,32,160,2,static_0.3,0.007823141447707264,0.000662603211269809,0.08469784366023432
45,0.0,128,4.0,0.025,32,160,2,static_0.4,0.0027603175945386596,0.000662603211269809,0.24004600506144003
45,0.0,128,4.0,0.025,32,160,2,static_0.5,0.000662603211269809,0.000662603211269809,1.0
45,0.0,128,4.0,0.025,32,160,2,static_0.6,0.0013063143901235854,0.000662603211269809,0.5072310435217074
45,0.0,128,4.0,0.025,32,160,2,static_0.7,0.005141447777926446,0.000662603211269809,0.12887483057097937
45,0.0,128,4.0,0.025,32,160,2,static_0.8,0.014130615091521434,0.000662603211269809,0.04689132121837925
45,0.0,128,4.0,0.025,32,160,2,static_0.9,0.029803933474194175,0.000662603211269809,0.022232072549870842
45,0.0,128,4.0,0.025,32,160,2,static_1.0,0.05687482946486354,0.000662603211269809,0.011650201284192965
45,0.0,128,4.0,0.025,32,160,2,prepare_AB,0.000835936823200961,0.000662603211269809,0.7926474739234185
45,0.0,128,4.0,0.025,32,160,2,prepare_BA,0.000446720059526792,0.000662603211269809,1.4832627215614649
45,0.0,128,4.0,0.025,32,160,2,matched_static,0.015218067576393894,0.000662603211269809,0.04354056176604394
45,0.0,128,4.0,0.025,32,160,2,greedy_oracle,0.0006315670939299968,0.000662603211269809,1.0491414414051983
45,0.0,128,4.0,0.025,32,160,3,static_0.0,0.06121669278899698,0.0008792934292410521,0.014363621900840342
45,0.0,128,4.0,0.025,32,160,3,static_0.1,0.02826103438873186,0.0008792934292410521,0.03111327834453366
45,0.0,128,4.0,0.025,32,160,3,static_0.2,0.01159511132413192,0.0008792934292410521,0.07583311661795376
45,0.0,128,4.0,0.025,32,160,3,static_0.3,0.0037392225860592813,0.0008792934292410521,0.2351540752131924
45,0.0,128,4.0,0.025,32,160,3,static_0.4,0.0008792934292410521,0.0008792934292410521,1.0
45,0.0,128,4.0,0.025,32,160,3,static_0.5,0.0019596861786122547,0.0008792934292410521,0.44869093778255903
45,0.0,128,4.0,0.025,32,160,3,static_0.6,0.006160310149876583,0.0008792934292410521,0.14273525323374636
45,0.0,128,4.0,0.025,32,160,3,static_0.7,0.013542568659606463,0.0008792934292410521,0.06492811307383127
45,0.0,128,4.0,0.025,32,160,3,static_0.8,0.02525744287380036,0.0008792934292410521,0.03481324034402336
45,0.0,128,4.0,0.025,32,160,3,static_0.9,0.03938515899449216,0.0008792934292410521,0.0223255015769777
45,0.0,128,4.0,0.025,32,160,3,static_1.0,0.06266625159649875,0.0008792934292410521,0.014031371062413752
45,0.0,128,4.0,0.025,32,160,3,prepare_AB,0.0014107412236483378,0.0008792934292410521,0.6232847062958145
45,0.0,128,4.0,0.025,32,160,3,prepare_BA,0.002031037107493338,0.0008792934292410521,0.4329282936274153
45,0.0,128,4.0,0.025,32,160,3,matched_static,0.009716231734396251,0.0008792934292410521,0.09049737112879695
45,0.0,128,4.0,0.025,32,160,3,greedy_oracle,0.0007802184530413068,0.0008792934292410521,1.126983636202847
45,0.0,128,4.0,0.025,32,160,4,static_0.0,0.058218095237809436,0.00043158611472013104,0.007413264088376421
45,0.0,128,4.0,0.025,32,160,4,static_0.1,0.030909021746901,0.00043158611472013104,0.013963111425983669
45,0.0,128,4.0,0.025,32,160,4,static_0.2,0.015608004769898338,0.00043158611472013104,0.02765158782834881
45,0.0,128,4.0,0.025,32,160,4,static_0.3,0.007078087386710907,0.00043158611472013104,0.06097496274635335
45,0.0,128,4.0,0.025,32,160,4,static_0.4,0.0021658093491164223,0.00043158611472013104,0.19927244052954327
45,0.0,128,4.0,0.025,32,160,4,static_0.5,0.00043158611472013104,0.00043158611472013104,1.0
45,0.0,128,4.0,0.025,32,160,4,static_0.6,0.001679699569508933,0.00043158611472013104,0.25694244527686994
45,0.0,128,4.0,0.025,32,160,4,static_0.7,0.005781227634786621,0.00043158611472013104,0.07465302215799369
45,0.0,128,4.0,0.025,32,160,4,static_0.8,0.013410480898407224,0.00043158611472013104,0.03218274706102381
45,0.0,128,4.0,0.025,32,160,4,static_0.9,0.032986943911819666,0.00043158611472013104,0.013083543473255427
45,0.0,128,4.0,0.025,32,160,4,static_1.0,0.0642549057313077,0.00043158611472013104,0.006716780762621897
45,0.0,128,4.0,0.025,32,160,4,prepare_AB,0.0002090055262970243,0.00043158611472013104,2.0649507329619143
