label_noise,steps,seeds,median_gain,ci_low,ci_high,wins
0.0,200,12,0.9252067434491467,0.6766780605584293,1.0581615496607535,5
0.0,800,12,0.8947279733482196,0.7840561362795362,0.996947525074995,3
0.1,200,12,0.9008796923012574,0.8239902010046201,0.9811372675420993,2
0.1,800,12,0.8627012954461274,0.7820997093413271,0.9280679027983321,1
