case,sampling,angle_deg,budget,step_size,steps,batch_size,label_sigma,epsilon,ridge,examples,static_lower,static_upper,static_p,grid_points,relative_bracket_width,candidate_risk,candidate_method,candidate_schedule,pure_two_phase_risk,flow_preparation_risk,certified_gain,candidate_gain,prep_gain
0,example,30,1.0,0.01,100,1,0.0,0.0,0.02,100,0.07545621473633864,0.07545631139436959,0.5,1025,1.2809800687046016e-06,0.07459863184644619,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07459863184644619,0.08186259149230313,1.0114959600285658,1.01149725573639,0.9217434974736187
1,example,30,1.0,0.01,100,1,0.0,0.0001,0.02,100,0.07549827596891259,0.07549837263660936,0.5,1025,1.2803944427949186e-06,0.07464110948813951,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07464110948813951,0.08190556896988886,1.0114838389548495,1.0114851340547941,0.921773373729508
2,example,30,1.0,0.01,100,1,0.0,0.01,0.02,100,0.07966233799373658,0.07966243561834785,0.5,1025,1.225478615010574e-06,0.07884639601577635,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07884639601577635,0.08616033925087688,1.0103485006188104,1.010349738780809,0.9245835881215742
3,example,30,1.0,0.01,100,1,0.0,0.1,0.02,100,0.1175174473103182,0.11751755363415226,0.5,1025,9.047485313343912e-07,0.11705412565842939,pure_two_phase,"[[45, 1.0], [55, 0.0]]",0.11705412565842939,0.12484006907804063,1.003958183013906,1.0039590913444194,0.9413448302458813
4,example,30,1.0,0.01,100,1,0.1,0.0,0.02,100,0.07548179636470413,0.07548189303483668,0.5,1025,1.280706255035783e-06,0.07462404536365541,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07462404536365541,0.08188738228670797,1.0114942978080157,1.0114955932367489,0.9217768467742187
5,example,30,1.0,0.01,100,1,0.1,0.0001,0.02,100,0.07552385759727809,0.07552395427707645,0.5,1025,1.2801209799845102e-06,0.07466652300534872,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07466652300534872,0.0819303597642937,1.0114821818054653,1.0114834766266847,0.9218066964962938
6,example,30,1.0,0.01,100,1,0.1,0.01,0.02,100,0.07968791962210206,0.07968801725881493,0.5,1025,1.2252370710935642e-06,0.07887180953298559,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07887180953298559,0.08618513004528172,1.0103472976460006,1.010348535562481,0.9246144574701783
7,example,30,1.0,0.01,100,1,0.1,0.1,0.02,100,0.1175430289386837,0.11754313527461935,0.5,1025,9.046545798321274e-07,0.11707956067007068,pure_two_phase,"[[45, 1.0], [55, 0.0]]",0.11707956067007068,0.12486485987244547,1.00395857539916,1.0039594836357049,0.9413628093179653
8,example,30,1.0,0.01,100,8,0.0,0.0,0.02,800,0.0738815818798536,0.07388168044191226,0.5,1025,1.3340527459296302e-06,0.07308624053834714,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07308624053834714,0.08048805746092354,1.0108822308501304,1.0108835794221454,0.9179210279460573
9,example,30,1.0,0.01,100,8,0.0,0.0001,0.02,800,0.07392360062818751,0.07392369920010237,0.5,1025,1.333427790183992e-06,0.07312868951622319,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07312868951622319,0.08053100453115897,1.0108700308623468,1.0108713787863355,0.917953273158289
10,example,30,1.0,0.01,100,8,0.0,0.01,0.02,800,0.07808345671324322,0.07808355626092248,0.5,1025,1.274886596096234e-06,0.07733113832595268,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07733113832595268,0.08478276448446717,1.0097285311399338,1.009729818430945,0.9209838430690469
11,example,30,1.0,0.01,100,8,0.0,0.1,0.02,800,0.11590033021374986,0.1159004386320144,0.5,1025,9.354430907463015e-07,0.11551397701803451,pure_two_phase,"[[45, 1.0], [55, 0.0]]",0.11551397701803451,0.12343512769635981,1.0033446445676009,1.0033455831402944,0.9389583078580344
12,example,30,1.0,0.01,100,8,0.1,0.0,0.02,800,0.07388476129110022,0.07388485985469234,0.5,1025,1.3340160936244673e-06,0.07308940023131269,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07308940023131269,0.08049113926315116,1.010882030188651,1.0108833787233469,0.9179253832293169
13,example,30,1.0,0.01,100,8,0.1,0.0001,0.02,800,0.07392678003943412,0.07392687861288244,0.5,1025,1.333391185589171e-06,0.07313184920918875,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07313184920918875,0.08053408633338659,1.0108698308444455,1.0108711787311648,0.9179576248850416
14,example,30,1.0,0.01,100,8,0.1,0.01,0.02,800,0.07808663612448985,0.07808673567370256,0.5,1025,1.2748543250991737e-06,0.07733429801891821,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07733429801891821,0.08478584628669478,1.0097283886301986,1.009729675888443,0.9209878664141671
15,example,30,1.0,0.01,100,8,0.1,0.1,0.02,800,0.1159035096249965,0.11590361804479449,0.5,1025,9.354306605407335e-07,0.11551713939736663,pure_two_phase,"[[45, 1.0], [55, 0.0]]",0.11551713939736663,0.12343820949858743,1.003344700445713,1.003345639005987,0.9389606226111117
16,example,30,1.0,0.01,100,64,0.0,0.0,0.02,6400,0.07368644580735075,0.07368654460883745,0.5,1025,1.3408348461020706e-06,0.07289871438715392,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07289871438715392,0.08031775268928965,1.010805834188149,1.0108071895136514,0.9174378283951106
17,example,30,1.0,0.01,100,64,0.0,0.0001,0.02,6400,0.07372845928151578,0.07372855809288263,0.5,1025,1.340204791854929e-06,0.07294115980546417,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07294115980546417,0.0803606959769239,1.0107936243151514,1.010794978987426,0.917470377733591
18,example,30,1.0,0.01,100,64,0.0,0.01,0.02,6400,0.07788779322385588,0.07788789301335744,0.5,1025,1.2811940046656224e-06,0.07714325621817639,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07714325621817639,0.08461208145271726,1.009651355700799,1.00965264926172,0.9205292161129801
19,example,30,1.0,0.01,100,64,0.0,0.1,0.02,6400,0.11569991997240223,0.1157000286540376,0.5,1025,9.39339744649384e-07,0.11532300668349588,pure_two_phase,"[[45, 1.0], [55, 0.0]]",0.11532300668349588,0.12326104032356579,1.003268326934458,1.0032692693451573,0.9386585440973061
20,example,30,1.0,0.01,100,64,0.1,0.0,0.02,6400,0.07368684294933786,0.07368694175101657,0.5,1025,1.3408302253511962e-06,0.07289910908452453,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07289910908452453,0.0803181376495857,1.0108058092164058,1.010807164537204,0.9174383757813223
21,example,30,1.0,0.01,100,64,0.1,0.0001,0.02,6400,0.07372885642350292,0.07372895523506177,0.5,1025,1.340200176942699e-06,0.07294155450283477,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07294155450283477,0.08036108093721997,1.0107935994240096,1.010794954091586,0.917470924671367
22,example,30,1.0,0.01,100,64,0.1,0.01,0.02,6400,0.077888190365843,0.07788829015553658,0.5,1025,1.2811899372620861e-06,0.07714365091554698,pure_two_phase,"[[43, 1.0], [57, 0.0]]",0.07714365091554698,0.08461246641301332,1.009651338009801,1.0096526315665926,0.920529721652901
23,example,30,1.0,0.01,100,64,0.1,0.1,0.02,6400,0.11570031711438936,0.11570042579621674,0.5,1025,9.393381799329208e-07,0.1153234017166534,pure_two_phase,"[[45, 1.0], [55, 0.0]]",0.1153234017166534,0.12326142528386186,1.0032683340252313,1.0032692764343674,0.9386588345037168
24,example,30,1.0,0.05,20,1,0.0,0.0,0.02,20,0.0806140606129001,0.0806141441525293,0.5,1025,1.0362899721705816e-06,0.07933286415578428,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07933286415578428,0.08534454985887062,1.0161496306826885,1.0161506837094523,0.9445728436770277
25,example,30,1.0,0.05,20,1,0.0,0.0001,0.02,20,0.0806563166501213,0.08065640019810445,0.5,1025,1.0358506324555612e-06,0.07937534568216563,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07937534568216563,0.0853874786831509,1.0161381466366763,1.0161391992051085,0.9445928307287048
