case,sampling,angle_deg,budget,step_size,steps,batch_size,label_sigma,epsilon,ridge,examples,static_lower,static_upper,static_p,grid_points,relative_bracket_width,candidate_risk,candidate_method,candidate_schedule,pure_two_phase_risk,flow_preparation_risk,certified_gain,candidate_gain,prep_gain
26,example,30,1.0,0.05,20,1,0.0,0.01,0.02,20,0.08483966433502066,0.08483974871004615,0.5,1025,9.945223409672431e-07,0.08358101679392108,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.08358101679392108,0.08963743228690149,1.0150590120745113,1.0150600215743801,0.9464767848157515
27,example,30,1.0,0.05,20,1,0.0,0.1,0.02,20,0.12287009783410595,0.12287018972769807,0.5,1025,7.478916759893794e-07,0.1218143905371523,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.1218143905371523,0.12827337413917927,1.0086665236537193,1.0086672780275805,0.9578775841226517
28,example,30,1.0,0.05,20,1,0.1,0.0,0.02,20,0.08074838621887932,0.08074846981060925,0.5,1025,1.0352113188392316e-06,0.07946692209348208,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07946692209348208,0.08547576761639838,1.016125755114685,1.016126807020657,0.9446942924571968
29,example,30,1.0,0.05,20,1,0.1,0.0001,0.02,20,0.08079064225610053,0.08079072585618441,0.5,1025,1.034773273755737e-06,0.07950940361986342,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07950940361986342,0.08551869644067872,1.0161143031881203,1.0161153546371324,0.9447141878761688
30,example,30,1.0,0.05,20,1,0.1,0.01,0.02,20,0.08497398994099989,0.08497407436812611,0.5,1025,9.935633526873382e-07,0.08371507473161889,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.08371507473161889,0.08976865004442927,1.0150380945536623,1.0150391030593167,0.9465896426655611
31,example,30,1.0,0.05,20,1,0.1,0.1,0.02,20,0.12300442344008519,0.12300451538577803,0.5,1025,7.474985170165965e-07,0.12194844847485012,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.12194844847485012,0.12840459189670708,1.0086591914734597,1.0086599454452732,0.9579448333493162
32,example,30,1.0,0.05,20,8,0.0,0.0,0.02,160,0.07209186445699177,0.0720919568235378,0.5,1025,1.2812323330717085e-06,0.07109203973227879,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07109203973227879,0.07776898281710515,1.014063806981459,1.014065106234461,0.9270014112577709
33,example,30,1.0,0.05,20,8,0.0,0.0001,0.02,160,0.07213389545041983,0.07213398782620252,0.5,1025,1.2806138336951885e-06,0.07113436158795418,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07113436158795418,0.07781174258001165,1.0140513507136741,1.014052649323525,0.9270321603712851
34,example,30,1.0,0.05,20,8,0.0,0.01,0.02,160,0.07629496379979976,0.07629505709001126,0.5,1025,1.2227556418264895e-06,0.07532422529981897,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07532422529981897,0.08204495910775639,1.0128874674265402,1.0128887059419198,0.9299176685530026
35,example,30,1.0,0.05,20,8,0.0,0.1,0.02,160,0.11412285788507183,0.11412295948827247,0.5,1025,8.902958799890145e-07,0.11341389540768068,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.11341389540768068,0.12052874572361753,1.00625110772223,1.006252003584243,0.9468526267581506
36,example,30,1.0,0.05,20,8,0.1,0.0,0.02,160,0.07210817287443118,0.07210826524794728,0.5,1025,1.2810392232084819e-06,0.07110834739720182,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07110834739720182,0.07778493357405497,1.0140605922346144,1.014061891287672,0.9270209786744469
37,example,30,1.0,0.05,20,8,0.1,0.0001,0.02,160,0.07215020386785925,0.072150296250612,0.5,1025,1.2804209761296296e-06,0.0711506692528772,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.0711506692528772,0.07782769333696149,1.0140481407339907,1.0140494391441635,0.9270517107352942
38,example,30,1.0,0.05,20,8,0.1,0.01,0.02,160,0.0763112722172392,0.07631136551442075,0.5,1025,1.2225856649386299e-06,0.075340532964742,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.075340532964742,0.08206090986470622,1.0128846878870832,1.0128859262268968,0.9299356495100438
39,example,30,1.0,0.05,20,8,0.1,0.1,0.02,160,0.11413916630251128,0.11413926791268197,0.5,1025,8.902297390923588e-07,0.11343020307260371,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.11343020307260371,0.12054469648056737,1.00625021564542,1.0062511114400845,0.9468626264373399
40,example,30,1.0,0.05,20,64,0.0,0.0,0.02,1280,0.07107327497689772,0.07107336848298415,0.5,1025,1.315627617279961e-06,0.07010418748997777,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07010418748997777,0.07686418831317746,1.0138235321115232,1.013824865927516,0.9246616668012022
41,example,30,1.0,0.05,20,64,0.0,0.0001,0.02,1280,0.07111527880409507,0.0711153723195321,0.5,1025,1.3149820352873196e-06,0.0701464900321703,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.0701464900321703,0.0769069274493735,1.0138109372469024,1.013812270391825,0.9246939733269949
42,example,30,1.0,0.05,20,64,0.0,0.01,0.02,1280,0.07527365769663254,0.07527375213777983,0.5,1025,1.2546358406385595e-06,0.07433444170923373,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07433444170923373,0.08113810193278029,1.0126350042564742,1.012636274746238,0.9277238479172357
43,example,30,1.0,0.05,20,64,0.0,0.1,0.02,1280,0.11307710217424606,0.11307720503094114,0.5,1025,9.096147632024388e-07,0.11240672968253757,pure_two_phase,"[[9, 0.0], [11, 1.0]]",0.11240672968253757,0.11960332450920558,1.0059638110067055,1.0059647260470717,0.9454353003560353
44,example,30,1.0,0.05,20,64,0.1,0.0,0.02,1280,0.07107530617297007,0.07107539967993512,0.5,1025,1.315602380950809e-06,0.07010621909320924,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07010621909320924,0.0768661752807902,1.0138231257126045,1.0138244595024775,0.9246641896815924
45,example,30,1.0,0.05,20,64,0.1,0.0001,0.02,1280,0.07111731000016744,0.07111740351648309,0.5,1025,1.3149568323020003e-06,0.07014852163540178,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07014852163540178,0.07690891441698625,1.0138105314578254,1.0138118645766634,0.9246964939707427
46,example,30,1.0,0.05,20,64,0.1,0.01,0.02,1280,0.0752756888927049,0.07527578333473081,0.5,1025,1.254613658260692e-06,0.07433647331246522,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.07433647331246522,0.08114008890039304,1.0126346534667012,1.0126359239335623,0.9277261629222369
47,example,30,1.0,0.05,20,64,0.1,0.1,0.02,1280,0.11307913337031844,0.11307923622789212,0.5,1025,9.096061939547166e-07,0.11240876128576906,pure_two_phase,"[[9, 1.0], [11, 0.0]]",0.11240876128576906,0.11960531147681835,1.005963699598514,1.0059646146301582,0.945436576617326
48,example,30,4.0,0.01,400,1,0.0,0.0,0.02,400,0.0005576901911745271,0.0005577483558237358,0.5,4097,0.00010428475243606574,0.0005577483558237358,static,"[[400, 0.5]]",0.0005642576996118392,0.0005642576996117161,0.9998957152475639,1.0,0.9884638813214962
49,example,30,4.0,0.01,400,1,0.0,0.0001,0.02,400,0.000582659663202587,0.0005827178336682607,0.5,4097,9.98261290673806e-05,0.0005827178336682607,static,"[[400, 0.5]]",0.0005984970309818507,0.000598497030981731,0.9999001738709327,1.0,0.9736352955877037
50,example,30,4.0,0.01,400,1,0.0,0.01,0.02,400,0.0030537561976407028,0.003054696140276115,0.5,1025,0.00030770413561565814,0.003054696140276115,static,"[[400, 0.5]]",0.003986871083760151,0.003988190836613715,0.9996922958643844,1.0,0.7659352988408624
51,example,30,4.0,0.01,400,1,0.0,0.1,0.02,400,0.02552620250044759,0.025527226200347544,0.5,1025,4.010227714985071e-05,0.025527226200347544,static,"[[400, 0.5]]",0.03457239160054862,0.03480358906963175,0.9999598977228501,1.0,0.7334653374189389
52,example,30,4.0,0.01,400,1,0.1,0.0,0.02,400,0.000595736148326497,0.0005957943371550129,0.5,4097,9.766596438927291e-05,0.0005957943371550129,static,"[[400, 0.5]]",0.0005975877929035676,0.0005975877929034444,0.9999023340356107,1.0,0.9969988413924624
53,example,30,4.0,0.01,400,1,0.1,0.0001,0.02,400,0.0006207056203545569,0.0006207638149995378,0.5,4097,9.374683828967463e-05,0.0006207638149995378,static,"[[400, 0.5]]",0.000631827124273579,0.0006318271242734593,0.9999062531617103,1.0,0.982489974157657
54,example,30,4.0,0.01,400,1,0.1,0.01,0.02,400,0.0030918017921030645,0.003092742121607392,0.5,1025,0.0003040439413806692,0.003092742121607392,static,"[[400, 0.5]]",0.0040202240534841106,0.004021520929905443,0.9996959560586194,1.0,0.7690478740539866
55,example,30,4.0,0.01,400,1,0.1,0.1,0.02,400,0.025564248094909956,0.025565272181678825,0.5,1025,4.005772993891876e-05,0.025565272181678825,static,"[[400, 0.5]]",0.034605949597686564,0.03483691916292348,0.9999599422700611,1.0,0.7338557138797636
56,example,30,4.0,0.01,400,8,0.0,0.0,0.02,3200,0.0002752415238308837,0.0002753003473761348,0.5,4097,0.0002136704359866581,0.00021942510281635838,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.00021942510281635838,0.00022055286399469756,1.2543757313913133,1.2546438116815635,1.2482283947251462
57,example,30,4.0,0.01,400,8,0.0,0.0001,0.02,3200,0.0003001709364658445,0.00030022976589345017,0.5,4097,0.00019594801811412973,0.0002537014276591167,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.0002537014276591167,0.0002547833648333109,1.1831661305003218,1.1833980149960006,1.1783727171115432
58,example,30,4.0,0.01,400,8,0.0,0.01,0.02,3200,0.0027672916025391694,0.0027682421991082787,0.5,1025,0.00034339356918098565,0.0027682421991082787,static,"[[400, 0.5]]",0.003643602947856142,0.003643602947856206,0.999656606430819,1.0,0.759754078236498
59,example,30,4.0,0.01,400,8,0.0,0.1,0.02,3200,0.025203683561503584,0.025204718864697665,0.5,1025,4.107576837649033e-05,0.025204718864697665,static,"[[400, 0.5]]",0.0342443575647503,0.034451053702609855,0.9999589242316235,1.0,0.7316095200533234
60,example,30,4.0,0.01,400,8,0.1,0.0,0.02,3200,0.00027995406404881395,0.00028001289066499147,0.5,4097,0.00021008538584710193,0.0002235553589869134,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.0002235553589869134,0.0002246859970318569,1.2522807116657044,1.2525438528243156,1.2462409512119712
61,example,30,4.0,0.01,400,8,0.1,0.0001,0.02,3200,0.00030488347668377474,0.0003049423091823068,0.5,4097,0.00019292993054925088,0.00025783168382967174,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.00025783168382967174,0.0002589164978704702,1.1824903446900896,1.1827185264932654,1.1777631463826699
62,example,30,4.0,0.01,400,8,0.1,0.01,0.02,3200,0.002772004096692941,0.0027729547423971353,0.5,1025,0.0003428277027602325,0.0027729547423971353,static,"[[400, 0.5]]",0.0036477360808933063,0.003647736080893367,0.9996571722972397,1.0,0.760185134259497
63,example,30,4.0,0.01,400,8,0.1,0.1,0.02,3200,0.025208396055657355,0.02520943140798652,0.5,1025,4.107003892351815e-05,0.02520943140798652,static,"[[400, 0.5]]",0.03424851645809496,0.034455186835647016,0.9999589299610765,1.0,0.73165853165263
64,example,30,4.0,0.01,400,64,0.0,0.0,0.02,25600,0.00024040650514262315,0.0002404654112550665,0.5,4097,0.00024496709167398623,0.00017660030979335314,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.00017660030979335314,0.00017799632954636387,1.3613028506231506,1.3616364067336257,1.3509571341606283
65,example,30,4.0,0.01,400,64,0.0,0.0001,0.02,25600,0.0002653309701623161,0.0002653898821653707,0.5,4097,0.00022198285245064958,0.00021087554140002476,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.00021087554140002476,0.00021222573699198471,1.2582349209432067,1.2585142895350476,1.2505075299863082
66,example,30,4.0,0.01,400,64,0.0,0.01,0.02,25600,0.0027319605706578624,0.0027329125022857695,0.5,1025,0.00034832129719151956,0.0027329125022857695,static,"[[400, 0.5]]",0.0036009370741092363,0.0036009370741091912,0.9996516787028085,1.0,0.7589448096539827
67,example,30,4.0,0.01,400,64,0.0,0.1,0.02,25600,0.02516389956434362,0.025164936321562133,0.5,1025,4.119848368639254e-05,0.025164936321562133,static,"[[400, 0.5]]",0.034203577951313485,0.03440740377517475,0.9999588015163136,1.0,0.731381434240001
68,example,30,4.0,0.01,400,64,0.1,0.0,0.02,25600,0.00024099490391205135,0.0002410538104091241,0.5,4097,0.0002443707360310386,0.00017711607968683846,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.00017711607968683846,0.0001785124584126642,1.3606607843746201,1.3609933713265046,1.3503472673704608
69,example,30,4.0,0.01,400,64,0.1,0.0001,0.02,25600,0.0002659193689317443,0.0002659782813194283,0.5,4097,0.00022149322640841438,0.00021139131129351008,pure_two_phase,"[[76, 1.0], [324, 0.0]]",0.00021139131129351008,0.00021274186585828504,1.2579484336634998,1.2582271224484054,1.2502394874011584
70,example,30,4.0,0.01,400,64,0.1,0.01,0.02,25600,0.0027325489636578124,0.002733500901439827,0.5,1025,0.00034824857072967804,0.002733500901439827,static,"[[400, 0.5]]",0.003601453202975533,0.0036014532029754846,0.9996517514292703,1.0,0.7589994225612694
71,example,30,4.0,0.01,400,64,0.1,0.1,0.02,25600,0.025164487957343572,0.025165524720716193,0.5,1025,4.1197764963271226e-05,0.025165524720716193,static,"[[400, 0.5]]",0.03420409729413509,0.03440791990404104,0.9999588022350367,1.0,0.7313875639939695
72,example,30,4.0,0.05,80,1,0.0,0.0,0.02,80,0.001935239200232089,0.0019360909580684832,0.5,1025,0.00043993689079769525,0.0019360909580684832,static,"[[80, 0.5]]",0.002299979807828428,0.0023042539743774893,0.9995600631092023,1.0,0.8402246365188681
73,example,30,4.0,0.05,80,1,0.0,0.0001,0.02,80,0.001960376867657339,0.001961228710669517,0.5,1025,0.00043434149599366425,0.001961228710669517,static,"[[80, 0.5]]",0.00233404906371568,0.0023385507379648177,0.9995656585040064,1.0,0.8386513402639812
74,example,30,4.0,0.05,80,1,0.0,0.01,0.02,80,0.004449005942757576,0.004449866218172334,0.5,1025,0.00019332612995077246,0.004449866218172334,static,"[[80, 0.5]]",0.005706905396553724,0.0057339303331110075,0.9998066738700492,1.0,0.7760586473254218
75,example,30,4.0,0.05,80,1,0.0,0.1,0.02,80,0.02707290662548704,0.027073843559107073,0.5,1025,3.460659798770265e-05,0.027073843559107073,static,"[[80, 0.5]]",0.036204104115118554,0.03660101756171271,0.9999653934020123,1.0,0.7397019362496702
76,example,30,4.0,0.05,80,1,0.1,0.0,0.02,80,0.0021367355443951317,0.0021375890054730518,0.5,1025,0.0003992634111304327,0.0021375890054730518,static,"[[80, 0.5]]",0.0024769783005789015,0.002480632127772678,0.9996007365888696,1.0,0.861711408774005
77,example,30,4.0,0.05,80,1,0.1,0.0001,0.02,80,0.002161873211820382,0.0021627267580740855,0.5,1025,0.0003946620859602682,0.0021627267580740855,static,"[[80, 0.5]]",0.0025110475564661533,0.0025149288913600062,0.9996053379140397,1.0,0.859955430749591
78,example,30,4.0,0.05,80,1,0.1,0.01,0.02,80,0.004650502286920618,0.004651364265576902,0.5,1025,0.00018531738368960965,0.004651364265576902,static,"[[80, 0.5]]",0.005883903889304197,0.005910308486506201,0.9998146826163103,1.0,0.7869917917476578
79,example,30,4.0,0.05,80,1,0.1,0.1,0.02,80,0.027274402969650082,0.02727534160651164,0.5,1025,3.441338609430535e-05,0.02727534160651164,static,"[[80, 0.5]]",0.03638217431009247,0.03677739571510791,0.9999655866139057,1.0,0.7416333069855491
80,example,30,4.0,0.05,80,8,0.0,0.0,0.02,640,0.00040589493210042485,0.0004059513425369297,0.5,4097,0.00013895861546438137,0.0004023862791180718,pure_two_phase,"[[15, 1.0], [65, 0.0]]",0.0004023862791180718,0.00040238627911809953,1.0087196138746162,1.008859803636127,1.0088598036360574
81,example,30,4.0,0.05,80,8,0.0,0.0001,0.02,640,0.00043081731175938936,0.0004308737278369379,0.5,4097,0.00013093413198278123,0.0004308737278369379,static,"[[80, 0.5]]",0.0004366357513572606,0.0004366357513572901,0.9998690658680173,1.0,0.9868035920044549
82,example,30,4.0,0.05,80,8,0.0,0.01,0.02,640,0.0028972782480258964,0.0028981898725380277,0.5,1025,0.0003145496162171908,0.0028981898725380277,static,"[[80, 0.5]]",0.0038273335030375513,0.003827333503037565,0.9996854503837828,1.0,0.7572347354203333
83,example,30,4.0,0.05,80,8,0.0,0.1,0.02,640,0.025327343784168427,0.025328336642547977,0.5,1025,3.9199509764959386e-05,0.025328336642547977,static,"[[80, 0.5]]",0.03441252432591019,0.034651858518312845,0.9999608004902351,1.0,0.7309373212741948
84,example,30,4.0,0.05,80,8,0.1,0.0,0.02,640,0.0004299161983822681,0.0004299726232319611,0.5,4097,0.0001312289356211959,0.0004235339556651011,pure_two_phase,"[[15, 1.0], [65, 0.0]]",0.0004235339556651011,0.0004235339556651202,1.0150690225229866,1.0152022464332262,1.0152022464331805
85,example,30,4.0,0.05,80,8,0.1,0.0001,0.02,640,0.00045483857804123266,0.00045489500853196927,0.5,4097,0.00012405168154892976,0.00045489500853196927,static,"[[80, 0.5]]",0.00045778342790428993,0.00045778342790431074,0.9998759483184511,1.0,0.9936904239072952
86,example,30,4.0,0.05,80,8,0.1,0.01,0.02,640,0.002921299298103653,0.002922211153233059,0.5,1025,0.00031204286124134983,0.002922211153233059,static,"[[80, 0.5]]",0.0038484811795845807,0.003848481179584593,0.9996879571387587,1.0,0.7593154329907582
87,example,30,4.0,0.05,80,8,0.1,0.1,0.02,640,0.025351364834246184,0.02535235792324301,0.5,1025,3.9171464833042285e-05,0.02535235792324301,static,"[[80, 0.5]]",0.03443380878773001,0.03467300619485987,0.999960828535167,1.0,0.7311843046075823
88,example,30,4.0,0.05,80,64,0.0,0.0,0.02,5120,0.00022766284257655164,0.00022771965678512057,0.5,4097,0.0002494918944241413,0.00017583751432683446,pure_two_phase,"[[15, 1.0], [65, 0.0]]",0.00017583751432683446,0.00017583751432684314,1.2947341950784625,1.2950573013779711,1.2950573013779072
89,example,30,4.0,0.05,80,64,0.0,0.0001,0.02,5120,0.00025255992604160773,0.0002526167459315975,0.5,4097,0.0002249252708099412,0.00021008136042461462,pure_two_phase,"[[15, 1.0], [65, 0.0]]",0.00021008136042461462,0.00021008136042461462,1.202200545213225,1.2024710113310897,1.2024710113310897
90,example,30,4.0,0.05,80,64,0.0,0.01,0.02,5120,0.002716510418141711,0.0027174285714329435,0.5,1025,0.00033787577744806774,0.0027174285714329435,static,"[[80, 0.5]]",0.0036002221241048307,0.003600222124104829,0.999662124222552,1.0,0.7547946981489687
91,example,30,4.0,0.05,80,64,0.0,0.1,0.02,5120,0.025123808834332344,0.02512480880326339,0.5,1025,3.980006132085199e-05,0.02512480880326339,static,"[[80, 0.5]]",0.034195894817522096,0.03441968361210672,0.9999601999386791,1.0,0.7299546703103927
92,example,30,4.0,0.05,80,64,0.1,0.0,0.02,5120,0.0002306481488901034,0.0002307049649183002,0.5,4097,0.0002462713718229619,0.00017846759278689409,pure_two_phase,"[[15, 1.0], [65, 0.0]]",0.00017846759278689409,0.00017846759278690276,1.2923811280713438,1.2926994829463638,1.292699482946301
93,example,30,4.0,0.05,80,64,0.1,0.0001,0.02,5120,0.0002555452323551595,0.00025560205406477713,0.5,4097,0.00022230537162751585,0.00021271143888467424,pure_two_phase,"[[15, 1.0], [65, 0.0]]",0.00021271143888467424,0.00021271143888467424,1.2013704279143562,1.2016375583983374,1.2016375583983374
