sampling,budget,batch_size,label_sigma,method,repetitions,seed,exact_risk,monte_carlo_mean,standard_error,z_score,inside_three_se
example,2.0,1,0.0,static,8192,940100,0.02054428569074372,0.020644524353586814,0.0001662726238768739,0.6028572864605746,True
example,2.0,1,0.0,two_phase,8192,940100,0.018470296105810226,0.018505623174020616,0.00015853169552182495,0.22283914957262874,True
example,2.0,1,0.1,static,8192,940101,0.020738471271440146,0.02048068542312367,0.0001645985512571027,-1.5661489505689206,True
example,2.0,1,0.1,two_phase,8192,940101,0.018656633061120968,0.018546936537873038,0.00015815231351803125,-0.6936131429745022,True
example,2.0,8,0.0,static,8192,940800,0.015028803829294834,0.014993158299529932,4.741296210112744e-05,-0.7518098044343718,True
example,2.0,8,0.0,two_phase,8192,940800,0.01310980178957754,0.013077847900689575,4.4289849990597197e-05,-0.7214720504754097,True
example,2.0,8,0.1,static,8192,940801,0.015052111985475444,0.015080150125333104,4.876938979618032e-05,0.5749126649900279,True
example,2.0,8,0.1,two_phase,8192,940801,0.013132280219642106,0.013158611514760856,4.62918200821417e-05,0.5688109707509177,True
example,4.0,1,0.0,static,8192,980100,0.0027210597538125745,0.002730623413359351,3.4492426175869315e-05,0.27726839213957655,True
example,4.0,1,0.0,two_phase,8192,980100,0.0027210597538125745,0.002730623413359351,3.4492426175869315e-05,0.27726839213957655,True
example,4.0,1,0.1,static,8192,980101,0.0029541228930456687,0.0029604758281666357,3.675852414594898e-05,0.17282889529902884,True
example,4.0,1,0.1,two_phase,8192,980101,0.0029541228930456687,0.0029604758281666357,3.675852414594898e-05,0.17282889529902884,True
example,4.0,8,0.0,static,8192,980800,0.0007798094192224755,0.0007851259267753445,5.97261841276953e-06,0.8901468644811171,True
example,4.0,8,0.0,two_phase,8192,980800,0.000778589085313305,0.0007865406732201308,6.104700293934753e-06,1.3025353455477453,True
example,4.0,8,0.1,static,8192,980801,0.0008075324078342383,0.000818548095871795,6.338978710778147e-06,1.7377701582790843,True
example,4.0,8,0.1,two_phase,8192,980801,0.0008062129800860314,0.0008196923317957066,6.431462850612021e-06,2.0958453811783295,True
batch,2.0,1,0.0,static,8192,940100,0.02054428569074372,0.020644524353586814,0.0001662726238768739,0.6028572864605746,True
batch,2.0,1,0.0,two_phase,8192,940100,0.018470296105810226,0.018505623174020616,0.00015853169552182495,0.22283914957262874,True
batch,2.0,1,0.1,static,8192,940101,0.020738471271440146,0.02048068542312367,0.0001645985512571027,-1.5661489505689206,True
batch,2.0,1,0.1,two_phase,8192,940101,0.018656633061120968,0.018546936537873038,0.00015815231351803125,-0.6936131429745022,True
batch,2.0,8,0.0,static,8192,940800,0.01600340754247374,0.015958356766923955,5.5317022687215434e-05,-0.8144107068907261,True
batch,2.0,8,0.0,two_phase,8192,940800,0.01310980178957754,0.013094625125275976,4.4857156488438704e-05,-0.3383331777946158,True
batch,2.0,8,0.1,static,8192,940801,0.016026833104178632,0.01608107439983072,5.595728945621414e-05,0.9693338647958055,True
batch,2.0,8,0.1,two_phase,8192,940801,0.013132280219642106,0.013192617601160406,4.582299459051053e-05,1.3167489828522778,True
batch,4.0,1,0.0,static,8192,980100,0.0027210597538125745,0.002730623413359351,3.4492426175869315e-05,0.27726839213957655,True
batch,4.0,1,0.0,two_phase,8192,980100,0.0027210597538125745,0.002730623413359351,3.4492426175869315e-05,0.27726839213957655,True
batch,4.0,1,0.1,static,8192,980101,0.0029541228930456687,0.0029604758281666357,3.675852414594898e-05,0.17282889529902884,True
batch,4.0,1,0.1,two_phase,8192,980101,0.0029541228930456687,0.0029604758281666357,3.675852414594898e-05,0.17282889529902884,True
batch,4.0,8,0.0,static,8192,980800,0.0013082305986523192,0.0012960917907488662,1.41264128845194e-05,-0.8592986770728925,True
batch,4.0,8,0.0,two_phase,8192,980800,0.0008621260016438773,0.0008497212771911731,9.361116431579891e-06,-1.3251330162774795,True
batch,4.0,8,0.1,static,8192,980801,0.001336167794094424,0.0013362860790119392,1.4668725785922648e-05,0.008063748633762354,True
batch,4.0,8,0.1,two_phase,8192,980801,0.0008862400835986106,0.0008886388130773312,9.899055652193103e-06,0.24231902143000777,True
