angle_deg,epsilon,budget,static,candidate,gain,global_gain_upper,epsilon_critical
30,0.0,0.2,0.34151889867340657,0.3414943692847646,1.0000718295551794,1.0271571309999972,0.7072223522189248
30,0.0,0.3191919191919192,0.2721137539061679,0.27203489410391324,1.0002898885546077,1.0436911459600868,0.5753040349998251
30,0.0,0.43838383838383843,0.2168134628933561,0.216652448398528,1.0007431925926444,1.0604913068120272,0.46799246608741907
30,0.0,0.5575757575757576,0.1727515681108069,0.17249136534493112,1.0015084973404638,1.0775618976716792,0.3806977441321973
30,0.0,0.6767676767676768,0.13764414758423774,0.13727995907390672,1.0026528891237136,1.094907271615762,0.309686122939149
30,0.0,0.795959595959596,0.10967142915912097,0.10920923960508874,1.0042321469841156,1.1125318517919047,0.2519203126871656
30,0.0,0.9151515151515153,0.08738346369897856,0.08683728185842449,1.0062897159936968,1.1304401325465696,0.20492956979176444
30,0.0,1.0343434343434343,0.0696249678387241,0.069013759302501,1.0088563286857632,1.1486366805711292,0.16670401892994002
30,0.0,1.1535353535353536,0.05547544056210293,0.0548203238042939,1.0119502533430442,1.1671261360663965,0.13560868719742272
30,0.0,1.2727272727272727,0.044201449581823066,0.04352343753239335,1.0155780905156007,1.1859132139258923,0.11031357349061281
30,0.0,1.391919191919192,0.03521861431541525,0.03453699241213477,1.019735994818153,1.2050027049381677,0.08973676205973997
30,0.0,1.511111111111111,0.02806131486710429,0.02739262860536441,1.0244111754068366,1.2243994770084736,0.072998147101559
30,0.0,1.6303030303030304,0.022358556898875635,0.02171611755113112,1.0295835269003253,1.2441084764001002,0.05938178911239717
30,0.0,1.7494949494949494,0.017814741360758127,0.01720853194906897,1.0352272589831206,1.2641347289956972,0.048305292917686996
30,0.0,1.8686868686868687,0.014194342290788258,0.013631204245087737,1.0413124207938897,1.2844833415788908,0.039294897623359006
30,0.0,1.9878787878787878,0.01130969846757775,0.010779875102838492,1.0491493045777263,1.3051595031365433,0.03196521304324598
30,0.0,2.107070707070707,0.009011286103093352,0.008453068100244706,1.0660373247001862,1.326168486181965,0.026002735894461386
30,0.0,2.2262626262626264,0.007179968366494841,0.006628496121310323,1.0831971890896275,1.3475156480994273,0.021152440719927394
30,0.0,2.3454545454545457,0.005720819997732625,0.005197753089077097,1.1006332735879154,1.3692064325103188,0.017206872008623704
30,0.0,2.464646464646465,0.004558206913442817,0.004075832086278697,1.1183500244742752,1.391246370661297,0.013997270964680151
30,0.0,2.5838383838383843,0.0036318657594527873,0.0031960747097528296,1.136351959599111,1.4136410828347787,0.011386357401884876
30,0.0,2.703030303030303,0.0028937801958452184,0.002506210593098307,1.1546436695360776,1.4363962797821364,0.009262458032755607
30,0.0,2.8222222222222224,0.002305691998684358,0.0019652517876980148,1.1732298187526984,1.4595177641799646,0.007534730008945334
30,0.0,2.9414141414141417,0.0018371179678504609,0.0015410574832323146,1.1921151467998259,1.4830114321097934,0.006129275415546636
30,0.0,3.060606060606061,0.0014637698485855009,0.0012084243767095562,1.2113044695202444,1.5068832745616068,0.004985980529497818
30,0.0,3.1797979797979803,0.0011662953643281914,0.0009475892301972887,1.2308026802767356,1.5311393789615775,0.004055944651707944
30,0.0,3.298989898989899,0.0009292751030279036,0.0007430546474334375,1.2506147511999077,1.5557859307243895,0.0032993885396049006
30,0.0,3.4181818181818184,0.0007404232611392936,0.0005826683033928907,1.2707457344561086,1.5808292148305425,0.0026839529801502855
30,0.0,3.5373737373737377,0.0005899508163404274,0.0004569009196718097,1.291200763535751,1.6062756174290511,0.0021833147303470454
30,0.0,3.656565656565657,0.0004700581194129461,0.0003582800869402715,1.3119850545623792,1.6321316274659423,0.0017760606266222561
