case,angle,budget,epsilon,sigma,stages,risk,noise_risk,noise_lower,total_lower,violation
0,1.0231502685123064,16.16444672101738,0.1,0.3,20,0.12514151954831926,0.12509212543300785,0.11546561898180828,0.11547692394636398,False
1,1.2728045301951951,0.36993502378829546,0.0,0.1,2,0.32798127232195035,0.0031294466678521357,0.003076308062294846,0.23815977978454275,False
2,1.173596465999756,11.811188529223054,1.0,0.3,20,0.10553312935946761,0.10452515907513119,0.10040311730756087,0.10062626816683994,False
3,0.28085274896486384,7.8638077721261075,0.1,0.3,20,0.31938724218653786,0.29124731769926804,0.2858991577316968,0.3127249798616708,False
4,0.6566576513310912,6.0626548221606695,0.0,0.01,1,0.008231057938688292,0.00021542147470166923,0.000184090855571484,0.00018621750465389698,False
5,0.9080277154763794,16.919592531401936,0.0,0.01,20,0.00016378101722070484,0.00016185190714754352,0.00014784744272537662,0.00014784744272588815,False
6,0.997473022116965,8.522559691527729,0.001,0.1,5,0.014703874472482475,0.014039391783507122,0.013063782602494738,0.013071677022167865,False
7,1.2714794767984794,8.002238856571333,0.1,0.01,20,0.0005628312650598638,0.0001230146990515802,0.0001043855549492796,0.0002445077315840272,False
8,0.9646292356641222,4.763271610922896,0.001,0.01,2,0.0030716676351409166,0.0001263922914354392,0.00012604879968052953,0.0003491957318439232,False
9,0.3618550386991348,1.7398355714027878,1.0,0.01,1,0.4483707060162398,0.00010526499665485584,0.00010402351601784586,0.43288245126439867,False
10,0.8833953089720599,10.80805505745435,0.001,0.3,1,0.1838579809497992,0.1815400655831148,0.13646882599192217,0.13647508096107433,False
11,0.4606800895258672,3.556167940553344,1.0,0.3,1,0.4489802434587234,0.1485162634084853,0.14840871995176616,0.448276417767276,False
12,0.4562396883957989,10.824245789744603,0.001,0.1,20,0.03428047787416713,0.033869386261284426,0.03018861026129761,0.030295788130113643,False
13,0.6636740311310522,19.67392528118483,1.0,0.01,2,0.0037484359609202293,0.0002243002472364661,0.00022417424264501844,0.003719936508533254,False
14,0.5825648517320533,15.292981405879674,1.0,0.1,1,0.05975543062341077,0.02849184763071941,0.026001228138378237,0.047767841942929275,False
15,0.5889421799975157,12.677437253401695,0.0,0.01,20,0.00043597130185460626,0.000254351757949129,0.000249491214498811,0.00024949121743144775,False
16,0.8402451977760714,7.447498680692669,0.001,0.1,1,0.06840571887481434,0.02973826387060307,0.01550781144399387,0.015540463215497706,False
