case,angle,epsilon,ridge,budget,phase1_time,p1,p2,risk,lower_bound,margin
0,0.8994440785391875,0.05747498599605372,0.041803170865017884,10.669316369710454,5.974071786428335,0.732309268302771,0.6320452670476728,0.0009189315485467969,8.079644685974745e-05,0.0008381351016870495
1,1.076816599985085,0.0016067101691417986,0.01758357386469267,8.737181915141178,5.802765340669715,0.9098407019491583,0.6811245952074606,0.010282965299934917,1.342337248709991e-06,0.010281622962686207
2,0.8225116293540489,6.029154243191766e-06,0.15110217369489964,24.067184798818076,15.926352735164775,0.8616864467153699,0.7943700342859502,8.412475580702791e-07,4.4187584160862635e-13,8.412471161944375e-07
3,0.6770954806003423,0.0921126289699619,0.14622022912142532,9.165023124619399,7.335732112414377,0.749607703834716,0.1640978796739755,0.0008837457891871531,0.0002539357260891017,0.0006298100630980515
4,1.102329967927292,0.00019917041249546805,0.13902672155608328,23.83267433284793,9.42666907906532,0.8319081180484974,0.2435513482502304,2.9369040124175383e-08,5.6568984392714786e-14,2.9368983555190992e-08
5,0.6861506966974644,2.7768257422957363e-05,0.15036796310094977,11.162796716412727,8.287774917881913,0.23224792188454924,0.5271391254036005,0.00010040712369673921,2.3150913836593725e-08,0.00010038397278290262
6,0.3352943499363458,2.5363170114281164e-06,0.1573206304274116,23.455036882105183,4.631962443012678,0.5077482589882395,0.014837839416606435,6.37563606920376e-10,1.9103007305517284e-10,4.465335338652032e-10
7,0.9301696978489623,0.39631397718387523,0.12564435148077155,15.469495339546574,6.524325237919874,0.6835587921980865,0.7096774273979729,2.9843373731913562e-05,2.8770229902848143e-06,2.6966350741628746e-05
8,1.1522659609783572,2.5897470239424783e-06,0.10811319822262366,2.8951609614170413,0.30749256195446684,0.6053016349736785,0.41906751074988813,0.00499478386272694,2.0509686507913168e-08,0.004994763353040432
9,0.2710480813487697,0.0033037892150561484,0.07840227333549404,17.07221920837613,0.5553525539756117,0.3059946731573746,0.8110235676105986,9.438924403850012e-05,5.654286505569389e-05,3.7846378982806234e-05
10,0.14402222926059527,1.2569058600457638e-05,0.11463229815232007,15.351484564476113,9.171746423659263,0.238185937701325,0.38795142595465815,1.882361669699927e-05,1.554837903504877e-07,1.8668132906648782e-05
11,0.20238914074036773,0.0006299549347808092,0.02388308082662658,6.876566512222506,2.181070021838313,0.9743427703140339,0.7914717340548358,0.0030456350538671855,0.00018912972028031248,0.002856505333586873
12,0.47565281133048953,0.10002464945287906,0.1720806698375684,10.881695574384768,1.5756262610896432,0.1632738327640837,0.012703007844929726,0.0013218846766878472,0.00027913692388495506,0.0010427477528028922
13,0.6835257393624593,0.00037020078595462056,0.10053159155076155,23.591184727250354,23.241869951474996,0.6278211642844929,0.7836493615588173,3.553502664418812e-07,4.8390486527086395e-09,3.5051121778917255e-07
14,0.36985908548409163,2.1422557829010437e-06,0.1092058941360507,17.311384791289274,6.780592973226609,0.6356743132460098,0.5817247478374373,1.0236793332389524e-05,6.585025943542612e-09,1.023020830644598e-05
15,0.8813452411423598,1.5892122543352355e-06,0.022528551772877072,15.731554869844832,0.5528364013271392,0.7158854930992726,0.5189562961951539,7.169679029504687e-06,5.167354541723844e-10,7.169162294050514e-06
16,0.29041970637174513,8.68834435303985e-06,0.13900045769067443,14.301779526019144,13.812951402203673,0.9409911127369492,0.17874047521968384,0.00013090731899919285,4.11087726733941e-08,0.00013086621022651945
17,0.10112764730778151,0.005538759587196932,0.1959441226747437,7.829020870951897,3.4491986504912235,0.622607469598292,0.893340986417995,0.0001295227154830112,0.00012249060428327042,7.032111199740764e-06
18,0.545181165126433,1.5109310987552056e-05,0.10883439360865739,15.558170559771675,9.43858437373691,0.7719604632287641,0.9370381691050105,0.00013557403996928473,1.958464448261975e-08,0.0001355544553248021
19,0.3355810543714336,0.00016883478090214606,0.04045400294454036,14.02449925534839,14.023088497743961,0.8579809184518254,0.439899001780904,0.0016628518422598284,1.1067204291427553e-05,0.0016517846379684009
20,0.5930550888714026,1.2847488715264656e-06,0.169399463924768,13.824335637296127,1.4073009003220156,0.2854475891152465,0.7972634555831976,1.396114080946938e-06,3.8531999040151737e-10,1.3957287609565365e-06
21,1.4459592689551515,3.6256510478805724e-05,0.14961092051402114,5.469754958030907,1.6949167630036712,0.7423749209419711,0.9123097941351841,0.008557892546106676,4.552851127492407e-10,0.008557892090821563
22,0.7993851607317061,6.7818801328297464e-06,0.04751886315507512,7.193985142068356,2.28650817533208,0.2361210361801649,0.6496539887940334,0.0011453896866488512,9.415392325397903e-08,0.0011452955327255973
23,1.0270687723840672,0.0003402641011920574,0.15714501234932118,20.965138273264284,19.531855924563846,0.12590763960102314,0.9496153403179035,1.4502719124546842e-06,2.523253151359121e-12,1.4502693892015328e-06
24,0.949325701763727,0.018238304759029614,0.0804759166772508,2.5721334602063726,1.1176664799713532,0.3432196957938125,0.9053030068555289,0.008767707765214966,0.000697715597905361,0.008069992167309605
25,1.4607632610220695,0.01827599224604206,0.16209119542441047,21.49448068531491,10.464482465836198,0.17476746504496488,0.3018513737333538,8.056657027199022e-09,5.082393927927472e-16,8.05665651895963e-09
26,0.6355911726126563,0.0009097521331150134,0.08802966174680521,17.123072774856876,14.484787942777146,0.9559509469754043,0.3407399803053167,0.0007264454983702801,5.102014289525411e-07,0.0007259352969413276
27,0.3573453156118416,0.5961497290145082,0.07494284809379269,17.575362769114594,11.15046171616162,0.761198388276036,0.5500264622144323,0.008619717729288963,0.006185952843224532,0.0024337648860644316
28,1.0615652467527235,2.0963040430135408e-06,0.1433695008624911,4.985090279626972,2.2214409120226732,0.7845121482898754,0.597076333819508,0.0018365655509338446,4.634972072367571e-09,0.0018365609159617722
29,1.2509470906773188,0.0006947160869978026,0.08768229747652029,15.181958397745566,8.70493414750739,0.008147989500094877,0.3676119838556384,0.00020110445748047447,7.231739130692317e-11,0.00020110438516308317
30,0.6504743362569876,0.00017068044629983166,0.10287547500074073,12.44412732125925,12.258954456139598,0.5154052655464871,0.883619288918637,9.451299253689731e-07,3.289989116154195e-07,6.161310137535536e-07
31,0.2497763643453834,0.0022649918194691666,0.1202908768253289,2.213850080886521,1.3680336185991446,0.8710440948202598,0.3794424653756193,0.005564695067303772,0.0005827851301635578,0.004981909937140214
32,0.8512682509229392,0.0005137246754726534,0.00040170294330279523,5.305315283652287,1.4617661259941166,0.5361113135031368,0.8699052017839792,0.004403456161465113,1.819870672021066e-05,0.004385257454744902
33,1.4160524498359164,0.3327906436039813,0.11751000028193473,14.249052066347502,14.149989802714904,0.2647174648017776,0.5475228280331059,6.516367436497026e-06,8.091433221562267e-10,6.51555829317487e-06
34,0.7950288016916423,0.00010512200764773496,0.013111412188627703,10.47830243468093,0.4505985197251768,0.8641823300225204,0.4333181239742959,4.714819964309867e-05,8.469499494289667e-07,4.63012496936697e-05
35,1.4644671830665978,0.0020590202511273537,0.07426126170745768,17.66474475289874,10.82137362640461,0.3505422277737359,0.8318472401416028,3.15922296564399e-08,1.1677921676811757e-13,3.159211287722313e-08
36,0.6242399452096111,0.19595976153136696,0.15554852496097193,22.92761202463245,11.725875014895092,0.8283616886862759,0.09695320226026183,1.1064085327532611e-05,6.824007736686876e-07,1.0381684553863923e-05
37,0.9694700400736347,0.00458213939141693,0.18086736599298686,8.859638842744669,8.832665098990072,0.36663080648866553,0.08785852930957283,2.408699210490474e-05,6.346160396831186e-07,2.345237606522162e-05
38,0.15696522018386685,0.4372405015219674,0.006274713165569757,2.5600078352151354,1.7341207033412727,0.231162682417406,0.7685475561243753,0.2090789223658248,0.20013607609037415,0.008942846275450639
39,1.0765097059707371,0.025716127835941856,0.018671543518052225,16.39542098889296,16.113780121166553,0.2616617888052949,0.10216163828217506,0.00010375643986113589,2.838545160088721e-07,0.00010347258534512703
40,1.4344977521727307,0.0001057081378664522,0.18002497307570545,10.097862344961175,6.209692435312953,0.9791225060321541,0.5365595586593096,0.0001398946343005601,4.17662645524713e-12,0.00013989463012393364
41,1.475506530338125,0.46784356972759455,0.18548177999720197,14.950758316659899,2.7586755503216502,0.3262186143627065,0.7427263487466425,6.674962689260098e-08,1.1013422605243597e-11,6.673861346999574e-08
42,1.2770581162723407,5.050963062243382e-06,0.04188802074474494,22.123047903580588,3.2004668440557453,0.7843559008433266,0.01981954213117576,9.208637487685445e-05,4.95119747989392e-15,9.208637487190325e-05
43,0.17231064624372178,1.2237041609397842e-06,0.09754513125485459,16.63985415682487,9.767072217161346,0.48445016268859675,0.6554439895860743,1.3103218302328293e-07,1.806473994400916e-08,1.1296744307927377e-07
