angle_deg,label_noise,samples_per_source,budget,seeds,median_gain,ci_low,ci_high,wins
45,0.0,128,4.0,20,0.8633348260861957,0.6616792198608574,1.4315525863584724,9
45,0.0,128,8.0,20,0.1040204644941061,0.059973095701844004,0.2855837339290623,4
45,0.0,1024,4.0,20,1.5131420713878008,1.267719399676682,1.636689843813683,18
45,0.0,1024,8.0,20,0.1916974756113724,0.0594654183142794,0.33350876760851056,2
45,0.1,128,4.0,20,0.9134384380397513,0.5179102982699999,1.1405697706238507,8
45,0.1,128,8.0,20,0.1301001450514717,0.08419680984502634,0.31856350292790947,3
45,0.1,1024,4.0,20,1.5687730726092148,1.2478544318302738,1.8129912101955714,17
45,0.1,1024,8.0,20,0.2935652624997549,0.12252873956910346,0.6809746958262048,4
70,0.0,128,4.0,20,1.6654514504781759,1.2899815260150604,2.0180928482831897,19
70,0.0,128,8.0,20,0.09534587288290565,0.0204155901968867,0.28573497601249004,3
70,0.0,1024,4.0,20,2.5818629546607728,2.0811987618291306,2.7496145518293247,20
70,0.0,1024,8.0,20,0.5192544136941395,0.1040717620340015,2.1755877218146455,7
70,0.1,128,4.0,20,1.8405306020785892,1.296772130962446,2.232446050099166,17
70,0.1,128,8.0,20,0.2083627145135727,0.16919230526109935,0.5077581445187004,3
70,0.1,1024,4.0,20,2.284680255564234,1.9551706210089774,2.4432725407428486,20
70,0.1,1024,8.0,20,0.3881564433428607,0.1987753503553677,0.9977871699788698,5
