label_noise,steps,examples_processed,width,step_size,samples_per_source,seed,method,test_risk,hindsight_static_grid,gain_vs_hindsight_static
0.0,200,6400,16,0.02,512,0,static_0.00,0.04524246890701841,0.0306214389338825,0.6768295292817725
0.0,200,6400,16,0.02,512,0,static_0.25,0.0306214389338825,0.0306214389338825,1.0
0.0,200,6400,16,0.02,512,0,static_0.50,0.0307982915117087,0.0306214389338825,0.9942577146606016
0.0,200,6400,16,0.02,512,0,static_0.75,0.034838981476821254,0.0306214389338825,0.8789418529429532
0.0,200,6400,16,0.02,512,0,static_1.00,0.06157850268308501,0.0306214389338825,0.49727482156356323
0.0,200,6400,16,0.02,512,0,prepare_AB,0.029316935301476582,0.0306214389338825,1.0444965893941927
0.0,200,6400,16,0.02,512,0,prepare_BA,0.031227486565023846,0.0306214389338825,0.9805924940555367
0.0,200,6400,16,0.02,512,0,matched_static,0.03163613546777344,0.0306214389338825,0.9679260276614831
0.0,200,6400,16,0.02,512,1,static_0.00,0.048943291140610835,0.02511894126198968,0.5132254222509194
0.0,200,6400,16,0.02,512,1,static_0.25,0.02784816254575736,0.02511894126198968,0.90199636046783
0.0,200,6400,16,0.02,512,1,static_0.50,0.02511894126198968,0.02511894126198968,1.0
0.0,200,6400,16,0.02,512,1,static_0.75,0.025788140025550528,0.02511894126198968,0.9740501345619414
0.0,200,6400,16,0.02,512,1,static_1.00,0.04005890435606343,0.02511894126198968,0.6270501319437012
0.0,200,6400,16,0.02,512,1,prepare_AB,0.02325456256026999,0.02511894126198968,1.0801725982541142
0.0,200,6400,16,0.02,512,1,prepare_BA,0.027604297646739513,0.02511894126198968,0.9099648751598144
0.0,200,6400,16,0.02,512,1,matched_static,0.028926697906517793,0.02511894126198968,0.868365319234376
0.0,200,6400,16,0.02,512,2,static_0.00,0.052147683724488705,0.016050238007972874,0.3077842937908982
0.0,200,6400,16,0.02,512,2,static_0.25,0.01612533876487835,0.016050238007972874,0.9953426865630228
0.0,200,6400,16,0.02,512,2,static_0.50,0.016050238007972874,0.016050238007972874,1.0
0.0,200,6400,16,0.02,512,2,static_0.75,0.023546059616199128,0.016050238007972874,0.6816528230027369
0.0,200,6400,16,0.02,512,2,static_1.00,0.060275849446151414,0.016050238007972874,0.26627974811556426
0.0,200,6400,16,0.02,512,2,prepare_AB,0.019831502709231907,0.016050238007972874,0.8093303993802351
0.0,200,6400,16,0.02,512,2,prepare_BA,0.01308685845843741,0.016050238007972874,1.2264393367550257
0.0,200,6400,16,0.02,512,2,matched_static,0.017199332416920957,0.016050238007972874,0.9331895924159482
0.0,200,6400,16,0.02,512,3,static_0.00,0.051282813912623904,0.016650273184013326,0.32467549874276014
0.0,200,6400,16,0.02,512,3,static_0.25,0.017857323304785212,0.016650273184013326,0.932405876279989
0.0,200,6400,16,0.02,512,3,static_0.50,0.016650273184013326,0.016650273184013326,1.0
0.0,200,6400,16,0.02,512,3,static_0.75,0.024654441870043287,0.016650273184013326,0.6753457763018543
0.0,200,6400,16,0.02,512,3,static_1.00,0.1060113560617801,0.016650273184013326,0.1570612225195013
0.0,200,6400,16,0.02,512,3,prepare_AB,0.016603062534381426,0.016650273184013326,1.0028434904424492
